"",BBFN1.M.DE.N.1.L.ID.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.ID.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Indonesia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:26:07,
1994-07,0.599,
1994-08,0.560,
1994-09,0.499,
1994-10,0.501,
1994-11,0.720,
1994-12,0.668,
1995-01,0.668,
1995-02,0.675,
1995-03,0.663,
1995-04,0.591,
1995-05,0.594,
1995-06,0.673,
1995-07,0.718,
1995-08,0.771,
1995-09,0.695,
1995-10,0.658,
1995-11,0.632,
1995-12,0.576,
1996-01,0.603,
1996-02,0.600,
1996-03,0.569,
1996-04,0.641,
1996-05,0.661,
1996-06,0.725,
1996-07,0.744,
1996-08,0.774,
1996-09,0.665,
1996-10,0.725,
1996-11,0.745,
1996-12,0.765,
1997-01,0.823,
1997-02,0.799,
1997-03,0.810,
1997-04,0.849,
1997-05,0.892,
1997-06,0.896,
1997-07,0.933,
1997-08,0.990,
1997-09,1.078,
1997-10,1.094,
1997-11,1.082,
1997-12,1.099,
1998-01,0.970,
1998-02,1.139,
1998-03,1.233,
1998-04,1.327,
1998-05,1.297,
1998-06,1.105,
1998-07,1.142,
1998-08,1.264,
1998-09,1.267,
1998-10,1.238,
1998-11,1.268,
1998-12,1.070,
1999-01,1.128,
1999-02,1.142,
1999-03,1.173,
1999-04,0.764,
1999-05,0.693,
1999-06,0.877,
1999-07,0.770,
1999-08,0.769,
1999-09,0.793,
1999-10,0.708,
1999-11,0.662,
1999-12,0.649,
2000-01,0.677,
2000-02,0.585,
2000-03,0.588,
2000-04,0.593,
2000-05,0.629,
2000-06,0.367,
2000-07,0.377,
2000-08,0.293,
2000-09,0.276,
2000-10,0.273,
2000-11,0.307,
2000-12,0.304,
2001-01,0.291,
2001-02,0.322,
2001-03,0.281,
2001-04,0.281,
2001-05,0.248,
2001-06,0.203,
2001-07,0.179,
2001-08,0.183,
2001-09,0.218,
2001-10,0.246,
2001-11,0.243,
2001-12,0.250,
2002-01,0.212,
2002-02,0.162,
2002-03,0.187,
2002-04,0.197,
2002-05,0.194,
2002-06,0.183,
2002-07,0.187,
2002-08,0.186,
2002-09,0.181,
2002-10,0.178,
2002-11,0.194,
2002-12,0.172,
2003-01,0.172,
2003-02,0.177,
2003-03,0.166,
2003-04,0.181,
2003-05,0.216,
2003-06,0.199,
2003-07,0.218,
2003-08,0.265,
2003-09,0.274,
2003-10,0.285,
2003-11,0.302,
2003-12,0.322,
2004-01,0.346,
2004-02,0.370,
2004-03,0.402,
2004-04,0.401,
2004-05,0.399,
2004-06,0.321,
2004-07,0.348,
2004-08,0.330,
2004-09,0.194,
2004-10,0.198,
2004-11,0.216,
2004-12,0.224,
2005-01,0.238,
2005-02,0.244,
2005-03,0.258,
2005-04,0.245,
2005-05,0.237,
2005-06,0.296,
2005-07,0.271,
2005-08,0.242,
2005-09,0.281,
2005-10,0.291,
2005-11,0.294,
2005-12,0.226,
2006-01,0.227,
2006-02,0.229,
2006-03,0.243,
2006-04,0.247,
2006-05,0.272,
2006-06,0.234,
2006-07,0.297,
2006-08,0.288,
2006-09,0.246,
2006-10,0.258,
2006-11,0.241,
2006-12,0.231,
2007-01,0.218,
2007-02,0.230,
2007-03,0.222,
2007-04,0.229,
2007-05,0.229,
2007-06,0.196,
2007-07,0.259,
2007-08,0.254,
2007-09,0.275,
2007-10,0.281,
2007-11,0.298,
2007-12,0.285,
2008-01,0.290,
2008-02,0.325,
2008-03,0.314,
2008-04,0.290,
2008-05,0.306,
2008-06,0.256,
2008-07,0.262,
2008-08,0.250,
2008-09,0.249,
2008-10,0.246,
2008-11,0.233,
2008-12,0.221,
2009-01,0.229,
2009-02,0.214,
2009-03,0.204,
2009-04,0.212,
2009-05,0.212,
2009-06,0.238,
2009-07,0.245,
2009-08,0.266,
2009-09,0.236,
2009-10,0.219,
2009-11,0.225,
2009-12,0.224,
2010-01,0.243,
2010-02,0.236,
2010-03,0.288,
2010-04,0.257,
2010-05,0.274,
2010-06,0.300,
2010-07,0.276,
2010-08,0.309,
2010-09,0.375,
2010-10,0.277,
2010-11,0.300,
2010-12,0.328,
2011-01,0.287,
2011-02,0.295,
2011-03,0.330,
2011-04,0.263,
2011-05,0.283,
2011-06,0.263,
2011-07,0.279,
2011-08,0.298,
2011-09,0.276,
2011-10,0.282,
2011-11,0.320,
2011-12,0.327,
2012-01,0.346,
2012-02,0.375,
2012-03,0.366,
2012-04,0.378,
2012-05,0.377,
2012-06,0.394,
2012-07,0.369,
2012-08,0.377,
2012-09,0.408,
2012-10,0.388,
2012-11,0.394,
2012-12,0.413,
2013-01,0.437,
2013-02,0.446,
2013-03,0.435,
2013-04,0.432,
2013-05,0.456,
2013-06,0.484,
2013-07,0.441,
2013-08,0.433,
2013-09,0.387,
2013-10,0.504,
2013-11,0.534,
2013-12,0.533,
2014-01,0.513,
2014-02,0.514,
2014-03,0.478,
2014-04,0.501,
2014-05,0.480,
2014-06,0.520,
2014-07,0.519,
2014-08,0.540,
2014-09,0.524,
2014-10,0.511,
2014-11,0.510,
2014-12,0.474,
