"",BBK01.OEBB13K,BBK01.OEBB13K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:12,
2002-01,3.937,
2002-04,3.824,
2002-07,3.770,
2002-10,3.882,
2003-01,3.694,
2003-04,3.530,
2003-07,3.386,
2003-10,3.830,
2004-01,3.270,
2004-04,3.237,
2004-07,3.277,
2004-10,3.342,
2005-01,2.779,
2005-04,2.831,
2005-07,2.752,
2005-10,2.730,
2006-01,2.690,
2006-04,2.611,
2006-07,2.579,
2006-10,2.569,
2007-01,2.472,
2007-04,2.475,
2007-07,2.429,
2007-10,2.524,
2008-01,2.434,
2008-04,2.446,
2008-07,2.460,
2008-10,2.469,
2009-01,2.503,
2009-04,3.593,
2009-07,3.480,
2009-10,3.515,
2010-01,3.463,
2010-04,3.731,
2010-07,3.543,
2010-10,3.854,
2011-01,3.986,
2011-04,3.923,
2011-07,3.954,
2011-10,3.909,
2012-01,3.887,
2012-04,3.978,
2012-07,3.905,
2012-10,3.968,
2013-01,4.027,
2013-04,4.013,
2013-07,4.186,
2013-10,4.214,
2014-01,4.231,
2014-04,4.281,
2014-07,4.354,
