"",BBK01.OEBM03V,BBK01.OEBM03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:34,
2002-01,0.835,
2002-04,0.734,
2002-07,0.854,
2002-10,0.817,
2003-01,0.628,
2003-04,0.668,
2003-07,0.658,
2003-10,0.877,
2004-01,0.536,
2004-04,0.451,
2004-07,0.441,
2004-10,0.604,
2005-01,0.519,
2005-04,0.481,
2005-07,0.458,
2005-10,0.510,
2006-01,0.462,
2006-04,0.705,
2006-07,0.900,
2006-10,0.573,
2007-01,0.702,
2007-04,0.753,
2007-07,0.772,
2007-10,0.867,
2008-01,1.125,
2008-04,1.236,
2008-07,1.202,
2008-10,0.897,
2009-01,0.618,
2009-04,0.578,
2009-07,0.518,
2009-10,0.471,
2010-01,0.346,
2010-04,0.322,
2010-07,0.287,
2010-10,0.369,
2011-01,0.456,
2011-04,0.320,
2011-07,0.726,
2011-10,1.095,
2012-01,1.385,
2012-04,1.379,
2012-07,1.144,
2012-10,1.018,
2013-01,1.129,
2013-04,1.510,
2013-07,1.612,
2013-10,1.804,
2014-01,1.342,
2014-04,1.471,
2014-07,1.546,
