"",BBDE1.M.DE.Y.AED5.A2P320000.F.V.I10.A,BBDE1.M.DE.Y.AED5.A2P320000.F.V.I10.A_FLAGS
"","Orders received from abroad, Non-euro-area countries / At current prices / Germany / Capital goods / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:25,
2003-01,64.3,
2003-02,64.0,
2003-03,64.7,
2003-04,63.8,
2003-05,63.8,
2003-06,65.2,
2003-07,65.7,
2003-08,67.7,
2003-09,70.5,
2003-10,69.0,
2003-11,69.3,
2003-12,70.7,
2004-01,68.0,
2004-02,66.3,
2004-03,73.4,
2004-04,75.0,
2004-05,77.3,
2004-06,75.3,
2004-07,72.4,
2004-08,71.0,
2004-09,73.6,
2004-10,69.9,
2004-11,73.3,
2004-12,79.8,
2005-01,77.8,
2005-02,74.1,
2005-03,77.0,
2005-04,75.0,
2005-05,76.2,
2005-06,82.5,
2005-07,81.7,
2005-08,77.4,
2005-09,86.1,
2005-10,86.5,
2005-11,87.0,
2005-12,79.8,
2006-01,90.3,
2006-02,87.0,
2006-03,87.0,
2006-04,89.8,
2006-05,89.3,
2006-06,87.6,
2006-07,97.6,
2006-08,99.8,
2006-09,89.6,
2006-10,92.5,
2006-11,91.6,
2006-12,92.7,
2007-01,94.5,
2007-02,101.4,
2007-03,97.4,
2007-04,99.8,
2007-05,104.5,
2007-06,98.1,
2007-07,102.7,
2007-08,103.8,
2007-09,98.7,
2007-10,107.7,
2007-11,106.4,
2007-12,104.8,
2008-01,106.1,
2008-02,109.7,
2008-03,106.3,
2008-04,113.6,
2008-05,102.1,
2008-06,97.9,
2008-07,93.1,
2008-08,106.7,
2008-09,91.6,
2008-10,83.8,
2008-11,77.5,
2008-12,78.1,
2009-01,59.7,
2009-02,59.8,
2009-03,65.5,
2009-04,63.5,
2009-05,67.3,
2009-06,72.0,
2009-07,71.7,
2009-08,76.2,
2009-09,80.8,
2009-10,76.6,
2009-11,81.7,
2009-12,83.4,
2010-01,83.4,
2010-02,85.4,
2010-03,87.5,
2010-04,93.7,
2010-05,98.8,
2010-06,100.6,
2010-07,100.5,
2010-08,103.7,
2010-09,103.8,
2010-10,102.5,
2010-11,124.4,
2010-12,109.6,
2011-01,114.8,
2011-02,116.2,
2011-03,106.1,
2011-04,110.4,
2011-05,109.4,
2011-06,122.8,
2011-07,110.1,
2011-08,109.9,
2011-09,108.5,
2011-10,113.8,
2011-11,105.0,
2011-12,116.8,
2012-01,110.3,
2012-02,113.2,
2012-03,127.8,
2012-04,121.0,
2012-05,120.0,
2012-06,120.2,
2012-07,122.3,
2012-08,119.9,
2012-09,119.3,
2012-10,130.9,
2012-11,121.7,
2012-12,123.6,
2013-01,119.2,
2013-02,124.2,
2013-03,126.8,
2013-04,123.3,
2013-05,127.8,
2013-06,133.0,
2013-07,126.4,
2013-08,127.6,
2013-09,130.7,
2013-10,127.6,
2013-11,130.6,
2013-12,130.7,
2014-01,135.9,
2014-02,129.5,
2014-03,128.5,
2014-04,133.6,
2014-05,127.1,
2014-06,126.6,
2014-07,143.2,
2014-08,129.8,
2014-09,135.6,
2014-10,137.6,
2014-11,131.3,
2014-12,140.6,Provisional value
