"",BBK01.OEAF17S,BBK01.OEAF17S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:54,
2002-01,0.291,
2002-04,0.306,
2002-07,0.328,
2002-10,0.308,
2003-01,0.314,
2003-04,0.320,
2003-07,0.329,
2003-10,0.300,
2004-01,0.295,
2004-04,0.303,
2004-07,0.305,
2004-10,0.285,
2005-01,0.317,
2005-04,0.329,
2005-07,0.330,
2005-10,0.308,
2006-01,0.306,
2006-04,0.307,
2006-07,0.301,
2006-10,0.283,
2007-01,0.274,
2007-04,0.281,
2007-07,0.272,
2007-10,0.262,
2008-01,0.271,
2008-04,0.272,
2008-07,0.276,
2008-10,0.262,
2009-01,0.255,
2009-04,0.258,
2009-07,0.267,
2009-10,0.255,
2010-01,0.259,
2010-04,0.258,
2010-07,0.264,
2010-10,0.240,
2011-01,0.246,
2011-04,0.252,
2011-07,0.260,
2011-10,0.248,
2012-01,0.239,
2012-04,0.234,
2012-07,0.190,
2012-10,0.190,
2013-01,0.185,
2013-04,0.182,
2013-07,0.190,
2013-10,0.179,
2014-01,0.176,
2014-04,0.169,
2014-07,0.173,
