"",BBK01.TQ7005E,BBK01.TQ7005E_FLAGS
"",Deposit takers - Sectoral distribution of loans to total loans - Central bank             FSI-I005,
unit,PC (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-23 10:05:22,
2005-10,0.96,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,0.95,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,1.96,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,2.88,
2009-01,1.80,
2009-04,3.11,
2009-07,2.12,
2009-10,2.13,
2010-01,2.59,
2010-04,3.81,
2010-07,2.42,
2010-10,2.73,
2011-01,2.33,
2011-04,2.12,
2011-07,3.88,
2011-10,4.21,
2012-01,7.51,
2012-04,8.10,
2012-07,6.89,
2012-10,5.60,
2013-01,4.21,
2013-04,3.72,
2013-07,3.33,
2013-10,2.78,
2014-01,2.02,
2014-04,1.27,
2014-07,1.63,
