"",BBK01.OEAB03I,BBK01.OEAB03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:39,
2002-01,6.421,
2002-04,6.609,
2002-07,6.301,
2002-10,5.866,
2003-01,5.858,
2003-04,6.336,
2003-07,5.666,
2003-10,5.300,
2004-01,5.297,
2004-04,5.065,
2004-07,5.066,
2004-10,5.377,
2005-01,5.569,
2005-04,5.694,
2005-07,5.556,
2005-10,5.390,
2006-01,5.555,
2006-04,5.806,
2006-07,6.282,
2006-10,6.139,
2007-01,5.895,
2007-04,6.990,
2007-07,6.857,
2007-10,6.531,
2008-01,7.250,
2008-04,8.441,
2008-07,9.097,
2008-10,9.762,
2009-01,9.839,
2009-04,12.122,
2009-07,14.762,
2009-10,15.453,
2010-01,15.678,
2010-04,15.517,
2010-07,14.505,
2010-10,15.110,
2011-01,17.787,
2011-04,17.508,
2011-07,16.656,
2011-10,17.597,
2012-01,17.647,
2012-04,16.957,
2012-07,15.893,
2012-10,15.857,
2013-01,15.267,
2013-04,15.663,
2013-07,14.627,
2013-10,14.220,
2014-01,14.787,
2014-04,14.109,
2014-07,14.388,
