"",BBFN1.M.DE.N.1.L.U3.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U3.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Other EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:41,
1995-01,24.229,
1995-02,23.220,
1995-03,24.806,
1995-04,23.962,
1995-05,24.656,
1995-06,24.489,
1995-07,24.562,
1995-08,24.340,
1995-09,24.508,
1995-10,24.876,
1995-11,24.743,
1995-12,23.224,
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,28.574,
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,26.544,
1996-10,27.433,
1996-11,26.263,
1996-12,25.997,
1997-01,27.118,
1997-02,27.857,
1997-03,.,No value available
1997-04,29.999,
1997-05,29.117,
1997-06,30.633,
1997-07,31.871,
1997-08,29.027,
1997-09,28.868,
1997-10,31.215,
1997-11,30.560,
1997-12,30.227,
1998-01,28.674,
1998-02,29.265,
1998-03,31.748,
1998-04,37.318,
1998-05,37.818,
1998-06,36.270,
1998-07,34.379,
1998-08,34.806,
1998-09,33.960,
1998-10,36.936,
1998-11,36.570,
1998-12,34.588,
1999-01,33.939,
1999-02,33.676,
1999-03,36.702,
1999-04,36.867,
1999-05,36.892,
1999-06,38.744,
1999-07,38.758,
1999-08,40.083,
1999-09,40.816,
1999-10,42.623,
1999-11,44.627,
1999-12,43.630,
2000-01,45.451,
2000-02,53.613,
2000-03,53.328,
2000-04,58.427,
2000-05,69.269,
2000-06,72.771,
2000-07,64.998,
2000-08,70.480,
2000-09,78.637,
2000-10,83.444,
2000-11,79.935,
2000-12,75.219,
2001-01,82.188,
2001-02,85.774,
2001-03,76.618,
2001-04,78.847,
2001-05,73.744,
2001-06,70.195,
2001-07,74.605,
2001-08,79.465,
2001-09,77.400,
2001-10,81.238,
2001-11,75.339,
2001-12,76.994,
2002-01,76.717,
2002-02,80.501,
2002-03,83.382,
2002-04,84.853,
2002-05,76.243,
2002-06,73.077,
2002-07,69.355,
2002-08,69.819,
2002-09,72.234,
2002-10,72.816,
2002-11,71.578,
2002-12,70.828,
2003-01,72.092,
2003-02,71.856,
2003-03,75.075,
2003-04,78.669,
2003-05,75.728,
2003-06,77.531,
2003-07,78.483,
2003-08,79.572,
2003-09,78.903,
2003-10,68.773,
2003-11,68.832,
2003-12,73.017,
2004-01,70.772,
2004-02,79.237,
2004-03,64.820,
2004-04,63.875,
2004-05,71.677,
2004-06,70.687,
2004-07,69.263,
2004-08,69.522,
2004-09,70.587,
2004-10,70.426,
2004-11,69.896,
2004-12,70.597,
2005-01,66.753,
2005-02,68.966,
2005-03,68.751,
2005-04,64.461,
2005-05,65.635,
2005-06,67.770,
2005-07,70.053,
2005-08,73.391,
2005-09,78.807,
2005-10,77.720,
2005-11,79.210,
2005-12,82.116,
2006-01,85.095,
2006-02,90.638,
2006-03,92.307,
2006-04,91.196,
2006-05,91.016,
2006-06,99.306,
2006-07,98.899,
2006-08,96.787,
2006-09,106.928,
2006-10,107.037,
2006-11,109.569,
2006-12,109.377,
2007-01,106.953,
2007-02,110.995,
2007-03,111.861,
2007-04,112.447,
2007-05,116.021,
2007-06,112.458,
2007-07,112.255,
2007-08,109.703,
2007-09,120.442,
2007-10,116.854,
2007-11,113.332,
2007-12,121.916,
2008-01,118.175,
2008-02,116.444,
2008-03,122.936,
2008-04,115.793,
2008-05,122.448,
2008-06,121.459,
2008-07,117.237,
2008-08,117.949,
2008-09,121.121,
2008-10,127.956,
2008-11,124.901,
2008-12,121.130,
2009-01,120.349,
2009-02,116.691,
2009-03,117.945,
2009-04,116.659,
2009-05,115.866,
2009-06,116.279,
2009-07,113.500,
2009-08,111.436,
2009-09,110.816,
2009-10,113.050,
2009-11,114.290,
2009-12,113.532,
2010-01,104.209,
2010-02,104.987,
2010-03,110.896,
2010-04,111.851,
2010-05,114.980,
2010-06,115.589,
2010-07,118.982,
2010-08,116.176,
2010-09,120.836,
2010-10,122.518,
2010-11,120.456,
2010-12,120.712,
2011-01,125.521,
2011-02,120.195,
2011-03,121.866,
2011-04,123.198,
2011-05,121.755,
2011-06,122.772,
2011-07,118.421,
2011-08,123.083,
2011-09,126.825,
2011-10,123.580,
2011-11,125.671,
2011-12,130.893,
2012-01,122.450,
2012-02,121.487,
2012-03,135.846,
2012-04,137.600,
2012-05,133.339,
2012-06,139.281,
2012-07,140.841,
2012-08,134.402,
2012-09,131.323,
2012-10,128.517,
2012-11,128.767,
2012-12,122.677,
2013-01,125.407,
2013-02,126.819,
2013-03,123.182,
2013-04,127.961,
2013-05,122.300,
2013-06,122.060,
2013-07,116.713,
2013-08,109.029,
2013-09,114.090,
2013-10,102.807,
2013-11,105.014,
2013-12,106.085,
2014-01,104.706,
2014-02,104.627,
2014-03,108.700,
2014-04,105.493,
2014-05,108.047,
2014-06,103.941,
2014-07,103.457,
2014-08,106.086,
2014-09,108.416,
2014-10,109.561,
2014-11,109.319,
2014-12,109.097,
"","General: Up to December 2000, including Greece; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Slovenia; from January 2007 including Bulgaria and Romania; up to December 2007, including Cyprus and Malta; up to December 2008, including Slovakia; up to December 2010, including Estonia.",
