"",BBDL1.M.DE.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE.Y.VAC.VBA000.A0000.A00.D00.0.ABA.A_FLAGS
"","Reported vacancies, total / Germany / Total / Absolute value / Calendar and seasonally adjusted",
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:12,
1999-12,420,
2000-01,427,
2000-02,432,
2000-03,434,
2000-04,446,
2000-05,458,
2000-06,458,
2000-07,457,
2000-08,454,
2000-09,456,
2000-10,460,
2000-11,468,
2000-12,476,
2001-01,469,
2001-02,461,
2001-03,456,
2001-04,450,
2001-05,439,
2001-06,434,
2001-07,424,
2001-08,419,
2001-09,416,
2001-10,408,
2001-11,397,
2001-12,392,
2002-01,396,
2002-02,400,
2002-03,403,
2002-04,402,
2002-05,393,
2002-06,387,
2002-07,369,
2002-08,362,
2002-09,349,
2002-10,341,
2002-11,331,
2002-12,323,
2003-01,315,
2003-02,303,
2003-03,295,
2003-04,290,
2003-05,269,
2003-06,261,
2003-07,259,
2003-08,258,
2003-09,244,
2003-10,237,
2003-11,234,
2003-12,225,
2004-01,219,
2004-02,214,
2004-03,206,
2004-04,203,
2004-05,205,
2004-06,208,
2004-07,205,
2004-08,204,
2004-09,202,
2004-10,201,
2004-11,200,
2004-12,202,
2005-01,213,
2005-02,219,
2005-03,229,
2005-04,238,
2005-05,247,
2005-06,253,
2005-07,263,
2005-08,269,
2005-09,278,
2005-10,283,
2005-11,284,
2005-12,286,
2006-01,292,
2006-02,300,
2006-03,309,
2006-04,323,
2006-05,340,
2006-06,350,
2006-07,364,
2006-08,373,
2006-09,382,
2006-10,391,
2006-11,402,
2006-12,416,
2007-01,423,
2007-02,431,
2007-03,434,
2007-04,436,
2007-05,430,
2007-06,432,
2007-07,425,
2007-08,422,
2007-09,415,
2007-10,412,
2007-11,409,
2007-12,406,
2008-01,399,
2008-02,396,
2008-03,396,
2008-04,392,
2008-05,387,
2008-06,399,
2008-07,396,
2008-08,393,
2008-09,390,
2008-10,384,
2008-11,376,
2008-12,357,
2009-01,342,
2009-02,333,
2009-03,319,
2009-04,303,
2009-05,291,
2009-06,285,
2009-07,281,
2009-08,284,
2009-09,289,
2009-10,291,
2009-11,295,
2009-12,304,
2010-01,306,
2010-02,312,
2010-03,322,
2010-04,332,
2010-05,348,
2010-06,357,
2010-07,371,
2010-08,377,
2010-09,382,
2010-10,392,
2010-11,400,
2010-12,409,
2011-01,420,
2011-02,435,
2011-03,443,
2011-04,456,
2011-05,461,
2011-06,465,
2011-07,470,
2011-08,475,
2011-09,482,
2011-10,490,
2011-11,497,
2011-12,499,
2012-01,502,
2012-02,491,
2012-03,490,
2012-04,492,
2012-05,491,
2012-06,486,
2012-07,479,
2012-08,473,
2012-09,467,
2012-10,460,
2012-11,455,
2012-12,448,
2013-01,464,
2013-02,463,
2013-03,460,
2013-04,453,
2013-05,451,
2013-06,448,
2013-07,452,
2013-08,452,
2013-09,456,
2013-10,458,
2013-11,462,
2013-12,467,
2014-01,468,
2014-02,470,
2014-03,473,
2014-04,477,
2014-05,476,
2014-06,484,
2014-07,485,
2014-08,495,
2014-09,501,
2014-10,509,
2014-11,518,
2014-12,527,
2015-01,532,
2015-02,534,
