"",BBK01.OEAF18N,BBK01.OEAF18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:45,
2002-01,0.305,
2002-04,0.276,
2002-07,0.323,
2002-10,0.501,
2003-01,0.465,
2003-04,0.414,
2003-07,0.353,
2003-10,0.484,
2004-01,0.443,
2004-04,0.209,
2004-07,0.378,
2004-10,0.247,
2005-01,0.246,
2005-04,0.221,
2005-07,0.273,
2005-10,0.530,
2006-01,0.240,
2006-04,0.246,
2006-07,0.264,
2006-10,0.494,
2007-01,0.274,
2007-04,0.264,
2007-07,0.246,
2007-10,0.246,
2008-01,0.254,
2008-04,0.183,
2008-07,0.142,
2008-10,0.182,
2009-01,0.161,
2009-04,0.131,
2009-07,0.155,
2009-10,0.175,
2010-01,0.148,
2010-04,0.195,
2010-07,0.151,
2010-10,0.146,
2011-01,0.151,
2011-04,0.291,
2011-07,0.225,
2011-10,0.165,
2012-01,0.155,
2012-04,0.166,
2012-07,0.162,
2012-10,0.152,
2013-01,0.134,
2013-04,0.101,
2013-07,0.114,
2013-10,0.126,
2014-01,0.143,
2014-04,0.121,
2014-07,0.131,
