"",BBK01.OEBJ03N,BBK01.OEBJ03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:18,
2002-01,15.568,
2002-04,15.528,
2002-07,15.463,
2002-10,16.729,
2003-01,16.353,
2003-04,16.529,
2003-07,14.640,
2003-10,14.991,
2004-01,14.536,
2004-04,14.949,
2004-07,16.426,
2004-10,9.724,
2005-01,11.598,
2005-04,12.544,
2005-07,12.904,
2005-10,12.915,
2006-01,13.741,
2006-04,13.953,
2006-07,14.958,
2006-10,16.125,
2007-01,16.225,
2007-04,16.634,
2007-07,19.058,
2007-10,21.315,
2008-01,21.503,
2008-04,21.429,
2008-07,22.659,
2008-10,27.978,
2009-01,24.697,
2009-04,22.252,
2009-07,28.286,
2009-10,23.943,
2010-01,20.682,
2010-04,29.254,
2010-07,23.019,
2010-10,26.681,
2011-01,23.167,
2011-04,28.094,
2011-07,26.457,
2011-10,31.615,
2012-01,22.829,
2012-04,30.889,
2012-07,29.625,
2012-10,21.624,
2013-01,24.362,
2013-04,22.617,
2013-07,21.526,
2013-10,21.238,
2014-01,23.212,
2014-04,21.335,
2014-07,23.192,
