"",BBK01.OEYB21Q,BBK01.OEYB21Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:13,
2002-01,11.921,
2002-04,11.320,
2002-07,8.928,
2002-10,8.864,
2003-01,8.253,
2003-04,7.758,
2003-07,7.718,
2003-10,7.753,
2004-01,8.088,
2004-04,8.118,
2004-07,8.377,
2004-10,9.490,
2005-01,9.263,
2005-04,10.681,
2005-07,10.493,
2005-10,10.567,
2006-01,10.192,
2006-04,9.921,
2006-07,9.559,
2006-10,10.698,
2007-01,11.194,
2007-04,11.336,
2007-07,11.136,
2007-10,11.354,
2008-01,12.498,
2008-04,12.451,
2008-07,11.951,
2008-10,11.974,
2009-01,12.122,
2009-04,12.260,
2009-07,12.164,
2009-10,11.456,
2010-01,11.336,
2010-04,10.070,
2010-07,9.625,
2010-10,9.767,
2011-01,9.210,
2011-04,8.753,
2011-07,8.829,
2011-10,8.468,
2012-01,8.222,
2012-04,8.807,
2012-07,8.370,
2012-10,8.374,
2013-01,7.974,
2013-04,7.419,
2013-07,7.806,
2013-10,7.682,
2014-01,7.590,
2014-04,7.695,
2014-07,7.572,
