"",BBK01.OELK01Q,BBK01.OELK01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:13,
2002-01,0.866,
2002-04,0.842,
2002-07,0.841,
2002-10,0.898,
2003-01,0.848,
2003-04,0.811,
2003-07,0.839,
2003-10,0.903,
2004-01,0.847,
2004-04,0.839,
2004-07,0.865,
2004-10,0.925,
2005-01,0.867,
2005-04,0.862,
2005-07,0.899,
2005-10,1.014,
2006-01,0.892,
2006-04,0.937,
2006-07,0.938,
2006-10,1.048,
2007-01,1.000,
2007-04,0.970,
2007-07,1.045,
2007-10,1.181,
2008-01,1.082,
2008-04,1.057,
2008-07,1.097,
2008-10,1.246,
2009-01,1.126,
2009-04,1.124,
2009-07,1.155,
2009-10,1.208,
2010-01,1.175,
2010-04,1.194,
2010-07,1.258,
2010-10,1.332,
2011-01,1.260,
2011-04,1.229,
2011-07,1.312,
2011-10,1.479,
2012-01,1.377,
2012-04,1.365,
2012-07,1.428,
2012-10,1.504,
2013-01,1.400,
2013-04,1.405,
2013-07,1.480,
2013-10,1.617,
2014-01,1.547,
2014-04,1.534,
2014-07,1.591,
