"",BBK01.OECJ04S,BBK01.OECJ04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:34,
2002-01,0.237,
2002-04,0.239,
2002-07,0.236,
2002-10,0.244,
2003-01,0.225,
2003-04,0.209,
2003-07,0.195,
2003-10,0.158,
2004-01,0.149,
2004-04,0.115,
2004-07,0.105,
2004-10,0.146,
2005-01,0.122,
2005-04,0.111,
2005-07,0.113,
2005-10,0.113,
2006-01,0.125,
2006-04,0.102,
2006-07,0.134,
2006-10,0.140,
2007-01,0.163,
2007-04,0.158,
2007-07,0.161,
2007-10,0.167,
2008-01,0.142,
2008-04,0.150,
2008-07,0.163,
2008-10,0.180,
2009-01,0.154,
2009-04,0.131,
2009-07,0.110,
2009-10,0.116,
2010-01,0.105,
2010-04,0.101,
2010-07,0.107,
2010-10,0.107,
2011-01,0.126,
2011-04,0.118,
2011-07,0.122,
2011-10,0.107,
2012-01,0.116,
2012-04,0.116,
2012-07,0.100,
2012-10,0.096,
2013-01,0.075,
2013-04,0.075,
2013-07,0.077,
2013-10,0.087,
2014-01,0.091,
2014-04,0.095,
2014-07,0.102,
