"",BBK01.OECB10P,BBK01.OECB10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:14,
2002-01,0.696,
2002-04,0.695,
2002-07,0.717,
2002-10,0.166,
2003-01,0.283,
2003-04,0.145,
2003-07,0.221,
2003-10,0.188,
2004-01,0.156,
2004-04,0.133,
2004-07,0.190,
2004-10,0.157,
2005-01,0.135,
2005-04,0.163,
2005-07,0.172,
2005-10,0.128,
2006-01,0.146,
2006-04,0.190,
2006-07,0.203,
2006-10,0.178,
2007-01,0.168,
2007-04,0.167,
2007-07,0.153,
2007-10,0.144,
2008-01,0.144,
2008-04,0.198,
2008-07,0.146,
2008-10,0.110,
2009-01,0.112,
2009-04,0.106,
2009-07,0.115,
2009-10,0.058,
2010-01,0.102,
2010-04,0.073,
2010-07,0.087,
2010-10,0.077,
2011-01,0.120,
2011-04,0.105,
2011-07,0.146,
2011-10,0.101,
2012-01,0.138,
2012-04,0.121,
2012-07,0.174,
2012-10,0.100,
2013-01,0.151,
2013-04,0.157,
2013-07,0.149,
2013-10,0.148,
2014-01,0.163,
2014-04,0.158,
2014-07,0.171,
