"",BBK01.OEYB17L,BBK01.OEYB17L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:11,
2002-01,25.323,
2002-04,26.998,
2002-07,27.756,
2002-10,27.276,
2003-01,28.014,
2003-04,31.342,
2003-07,35.094,
2003-10,37.081,
2004-01,36.307,
2004-04,36.687,
2004-07,36.760,
2004-10,36.350,
2005-01,35.723,
2005-04,35.273,
2005-07,34.914,
2005-10,32.573,
2006-01,31.239,
2006-04,25.511,
2006-07,27.533,
2006-10,26.082,
2007-01,22.193,
2007-04,22.405,
2007-07,27.598,
2007-10,26.911,
2008-01,25.848,
2008-04,24.519,
2008-07,28.582,
2008-10,27.308,
2009-01,26.879,
2009-04,26.189,
2009-07,25.333,
2009-10,24.735,
2010-01,24.108,
2010-04,23.599,
2010-07,22.995,
2010-10,22.413,
2011-01,20.588,
2011-04,20.168,
2011-07,19.611,
2011-10,19.080,
2012-01,18.638,
2012-04,18.209,
2012-07,17.770,
2012-10,17.108,
2013-01,16.819,
2013-04,16.299,
2013-07,15.691,
2013-10,15.315,
2014-01,15.016,
2014-04,14.789,
2014-07,14.688,
