"",BBK01.OEAC50U,BBK01.OEAC50U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:01,
2002-01,0.940,
2002-04,0.928,
2002-07,0.911,
2002-10,0.909,
2003-01,0.889,
2003-04,0.881,
2003-07,0.863,
2003-10,0.855,
2004-01,0.821,
2004-04,0.823,
2004-07,0.803,
2004-10,0.817,
2005-01,0.795,
2005-04,0.795,
2005-07,0.772,
2005-10,0.769,
2006-01,0.754,
2006-04,0.739,
2006-07,0.720,
2006-10,0.711,
2007-01,0.702,
2007-04,0.688,
2007-07,0.691,
2007-10,0.687,
2008-01,0.684,
2008-04,0.692,
2008-07,0.690,
2008-10,0.688,
2009-01,0.644,
2009-04,0.709,
2009-07,0.696,
2009-10,0.666,
2010-01,0.683,
2010-04,0.676,
2010-07,0.664,
2010-10,0.672,
2011-01,0.659,
2011-04,0.660,
2011-07,0.664,
2011-10,0.661,
2012-01,0.652,
2012-04,0.703,
2012-07,0.697,
2012-10,0.693,
2013-01,0.687,
2013-04,0.690,
2013-07,0.694,
2013-10,0.692,
2014-01,0.683,
2014-04,0.658,
2014-07,0.667,
