"",BBFB1.M.N.DE.W1.S1.S1.T.D.G1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.G1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Imports (fob) / General merchandise / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:07,
1991-01,26607.667,
1991-02,23283.431,
1991-03,25406.733,
1991-04,26112.591,
1991-05,26628.522,
1991-06,24971.501,
1991-07,27980.855,
1991-08,22976.814,
1991-09,24430.275,
1991-10,28034.767,
1991-11,25927.037,
1991-12,23941.644,
1992-01,25870.857,
1992-02,24914.163,
1992-03,27296.956,
1992-04,27580.078,
1992-05,24413.535,
1992-06,23443.946,
1992-07,27703.143,
1992-08,20260.804,
1992-09,23864.775,
1992-10,26317.766,
1992-11,24587.192,
1992-12,25586.917,
1993-01,20268.143,
1993-02,22505.228,
1993-03,23555.819,
1993-04,23264.420,
1993-05,21375.094,
1993-06,21881.173,
1993-07,22314.131,
1993-08,20577.799,
1993-09,22005.311,
1993-10,22482.108,
1993-11,23282.753,
1993-12,23429.835,
1994-01,20663.458,
1994-02,21900.399,
1994-03,26227.498,
1994-04,23085.695,
1994-05,24712.898,
1994-06,24557.218,
1994-07,23667.073,
1994-08,22514.689,
1994-09,24647.938,
1994-10,24961.000,
1994-11,25238.979,
1994-12,27572.633,
1995-01,23181.006,
1995-02,24750.075,
1995-03,29010.248,
1995-04,24310.268,
1995-05,26570.307,
1995-06,27164.909,
1995-07,25416.948,
1995-08,23320.420,
1995-09,26209.097,
1995-10,27061.420,
1995-11,26683.081,
1995-12,26744.965,
1996-01,27151.435,
1996-02,25164.623,
1996-03,27376.775,
1996-04,27092.533,
1996-05,25959.748,
1996-06,26658.760,
1996-07,27271.281,
1996-08,23792.777,
1996-09,26133.845,
1996-10,29357.258,
1996-11,27674.703,
1996-12,27916.261,
1997-01,28138.481,
1997-02,28051.877,
1997-03,28883.624,
1997-04,29948.454,
1997-05,28941.760,
1997-06,30809.324,
1997-07,31790.279,
1997-08,27644.194,
1997-09,30765.645,
1997-10,33734.450,
1997-11,31566.061,
1997-12,30592.749,
1998-01,32230.851,
1998-02,30923.865,
1998-03,33045.093,
1998-04,34694.568,
1998-05,30227.760,
1998-06,33267.971,
1998-07,33877.945,
1998-08,28947.839,
1998-09,30919.065,
1998-10,33625.473,
1998-11,31386.246,
1998-12,32433.655,
1999-01,30405.415,
1999-02,31284.885,
1999-03,34658.747,
1999-04,33346.284,
1999-05,33799.666,
1999-06,34588.675,
1999-07,34354.625,
1999-08,33817.656,
1999-09,34249.258,
1999-10,35902.153,
1999-11,37845.640,
1999-12,36641.326,
2000-01,36005.093,
2000-02,36044.275,
2000-03,42129.932,
2000-04,36597.239,
2000-05,44162.961,
2000-06,39042.483,
2000-07,40416.375,
2000-08,41121.751,
2000-09,41584.979,
2000-10,46341.701,
2000-11,48252.346,
2000-12,45677.862,
2001-01,42455.528,
2001-02,41353.913,
2001-03,42636.382,
2001-04,43383.949,
2001-05,42596.835,
2001-06,41878.140,
2001-07,42116.657,
2001-08,38702.345,
2001-09,39288.749,
2001-10,43116.317,
2001-11,43190.595,
2001-12,36374.706,
2002-01,36102.079,
2002-02,36341.221,
2002-03,38190.088,
2002-04,41942.348,
2002-05,37086.508,
2002-06,40375.209,
2002-07,39283.574,
2002-08,36733.487,
2002-09,38646.932,
2002-10,42593.090,
2002-11,42811.191,
2002-12,38982.149,
2003-01,40515.195,
2003-02,39575.832,
2003-03,41656.898,
2003-04,40841.102,
2003-05,39926.018,
2003-06,40173.811,
2003-07,40732.287,
2003-08,36214.033,
2003-09,40003.888,
2003-10,43447.564,
2003-11,44819.546,
2003-12,41162.973,
2004-01,39381.668,
2004-02,40774.094,
2004-03,44430.724,
2004-04,43021.864,
2004-05,42855.486,
2004-06,44607.334,
2004-07,45293.142,
2004-08,41815.646,
2004-09,45948.279,
2004-10,48032.955,
2004-11,50816.876,
2004-12,45349.332,
2005-01,43266.348,
2005-02,42708.173,
2005-03,44690.255,
2005-04,48115.030,
2005-05,47740.999,
2005-06,48486.908,
2005-07,47702.136,
2005-08,47009.023,
2005-09,50483.774,
2005-10,53063.535,
2005-11,54898.545,
2005-12,53904.893,
2006-01,52470.877,
2006-02,52539.247,
2006-03,57484.531,
2006-04,54284.211,
2006-05,55954.911,
2006-06,56635.886,
2006-07,55727.700,
2006-08,53418.108,
2006-09,59224.170,
2006-10,61701.460,
2006-11,61640.874,
2006-12,57748.042,
2007-01,57188.840,
2007-02,59309.043,
2007-03,61410.941,
2007-04,59577.230,
2007-05,58320.386,
2007-06,60822.304,
2007-07,59725.930,
2007-08,59528.641,
2007-09,60121.067,
2007-10,64865.002,
2007-11,63714.194,
2007-12,58822.785,
2008-01,62388.555,
2008-02,62889.301,
2008-03,62326.995,
2008-04,65301.972,
2008-05,62014.627,
2008-06,64088.233,
2008-07,68074.222,
2008-08,61122.253,
2008-09,67195.332,
2008-10,68195.657,
2008-11,62548.320,
2008-12,55555.610,
2009-01,53678.766,
2009-02,52101.389,
2009-03,54327.950,
2009-04,50865.285,
2009-05,47141.067,
2009-06,49742.229,
2009-07,51675.868,
2009-08,48159.624,
2009-09,55987.617,
2009-10,56340.515,
2009-11,53790.697,
2009-12,51977.770,
2010-01,51647.517,
2010-02,52862.837,
2010-03,65062.919,
2010-04,58582.956,
2010-05,61906.648,
2010-06,66163.708,
2010-07,64359.908,
2010-08,61771.851,
2010-09,65743.661,
2010-10,67687.478,
2010-11,69585.146,
2010-12,64759.805,
2011-01,66466.228,
2011-02,68488.167,
2011-03,76019.956,
2011-04,70652.538,
2011-05,73488.045,
2011-06,72081.259,
2011-07,71272.375,
2011-08,69761.000,
2011-09,73558.462,
2011-10,74473.038,
2011-11,73242.623,
2011-12,69764.461,
2012-01,69697.601,
2012-02,72713.264,
2012-03,78459.857,
2012-04,69972.890,
2012-05,73613.135,
2012-06,73074.552,
2012-07,72637.830,
2012-08,70874.578,
2012-09,71268.181,
2012-10,79468.120,
2012-11,72883.656,
2012-12,64662.532,
2013-01,72195.062,
2013-02,69796.047,
2013-03,71976.164,
2013-04,72494.458,
2013-05,70237.635,
2013-06,71193.009,
2013-07,74902.624,
2013-08,70971.032,
2013-09,72557.551,
2013-10,77590.229,
2013-11,73853.368,
2013-12,67139.745,
2014-01,73288.025,
2014-02,72644.562,
2014-03,73684.362,
2014-04,72836.269,
2014-05,72433.039,
2014-06,72865.527,
2014-07,75126.779,
2014-08,67709.664,
2014-09,77007.780,
2014-10,79723.213,
2014-11,75093.980,
2014-12,69785.175,Provisional value
