"",BBFN1.M.DE.N.1.A.AR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Argentina,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:00,
1994-07,1.381,
1994-08,1.010,
1994-09,1.001,
1994-10,1.006,
1994-11,1.123,
1994-12,1.117,
1995-01,1.112,
1995-02,1.100,
1995-03,1.115,
1995-04,1.150,
1995-05,1.139,
1995-06,1.174,
1995-07,1.154,
1995-08,1.151,
1995-09,1.068,
1995-10,0.997,
1995-11,1.044,
1995-12,1.018,
1996-01,1.013,
1996-02,1.027,
1996-03,1.026,
1996-04,1.054,
1996-05,1.069,
1996-06,1.095,
1996-07,1.107,
1996-08,1.075,
1996-09,1.093,
1996-10,1.108,
1996-11,1.122,
1996-12,1.133,
1997-01,1.098,
1997-02,1.115,
1997-03,1.162,
1997-04,1.171,
1997-05,1.189,
1997-06,1.213,
1997-07,1.229,
1997-08,1.229,
1997-09,1.249,
1997-10,1.245,
1997-11,1.229,
1997-12,1.213,
1998-01,1.256,
1998-02,1.282,
1998-03,1.234,
1998-04,1.177,
1998-05,1.201,
1998-06,0.823,
1998-07,0.842,
1998-08,0.890,
1998-09,0.830,
1998-10,0.830,
1998-11,0.808,
1998-12,0.768,
1999-01,0.788,
1999-02,0.768,
1999-03,0.733,
1999-04,0.765,
1999-05,0.659,
1999-06,0.797,
1999-07,0.750,
1999-08,0.762,
1999-09,0.720,
1999-10,0.723,
1999-11,0.799,
1999-12,0.821,
2000-01,0.839,
2000-02,0.816,
2000-03,0.840,
2000-04,0.892,
2000-05,0.981,
2000-06,1.019,
2000-07,1.031,
2000-08,0.980,
2000-09,0.956,
2000-10,1.048,
2000-11,1.169,
2000-12,1.018,
2001-01,0.987,
2001-02,0.992,
2001-03,1.010,
2001-04,1.025,
2001-05,0.931,
2001-06,0.951,
2001-07,0.977,
2001-08,0.977,
2001-09,0.921,
2001-10,0.827,
2001-11,0.815,
2001-12,0.842,
2002-01,0.838,
2002-02,0.845,
2002-03,0.818,
2002-04,0.801,
2002-05,0.792,
2002-06,0.767,
2002-07,0.736,
2002-08,0.704,
2002-09,0.692,
2002-10,0.655,
2002-11,0.677,
2002-12,0.605,
2003-01,0.579,
2003-02,0.577,
2003-03,0.553,
2003-04,0.534,
2003-05,0.532,
2003-06,0.496,
2003-07,0.511,
2003-08,0.520,
2003-09,0.513,
2003-10,0.491,
2003-11,0.410,
2003-12,0.416,
2004-01,0.397,
2004-02,0.498,
2004-03,0.497,
2004-04,0.422,
2004-05,0.517,
2004-06,0.508,
2004-07,0.532,
2004-08,0.536,
2004-09,0.512,
2004-10,0.504,
2004-11,0.512,
2004-12,0.462,
2005-01,0.376,
2005-02,0.376,
2005-03,0.414,
2005-04,0.397,
2005-05,0.443,
2005-06,0.393,
2005-07,0.385,
2005-08,0.413,
2005-09,0.451,
2005-10,0.434,
2005-11,0.439,
2005-12,0.406,
2006-01,0.441,
2006-02,0.441,
2006-03,0.434,
2006-04,0.453,
2006-05,0.443,
2006-06,0.461,
2006-07,0.473,
2006-08,0.460,
2006-09,0.497,
2006-10,0.484,
2006-11,0.490,
2006-12,0.504,
2007-01,0.494,
2007-02,0.510,
2007-03,0.493,
2007-04,0.512,
2007-05,0.506,
2007-06,0.546,
2007-07,0.606,
2007-08,0.598,
2007-09,0.635,
2007-10,0.577,
2007-11,0.615,
2007-12,0.649,
2008-01,0.630,
2008-02,0.569,
2008-03,0.585,
2008-04,0.633,
2008-05,0.648,
2008-06,0.682,
2008-07,0.692,
2008-08,0.671,
2008-09,0.670,
2008-10,0.681,
2008-11,0.673,
2008-12,0.666,
2009-01,0.628,
2009-02,0.633,
2009-03,0.622,
2009-04,0.561,
2009-05,0.574,
2009-06,0.550,
2009-07,0.575,
2009-08,0.520,
2009-09,0.543,
2009-10,0.555,
2009-11,0.568,
2009-12,0.582,
2010-01,0.595,
2010-02,0.601,
2010-03,0.655,
2010-04,0.690,
2010-05,0.744,
2010-06,0.749,
2010-07,0.794,
2010-08,0.756,
2010-09,0.764,
2010-10,0.784,
2010-11,0.789,
2010-12,0.774,
2011-01,0.778,
2011-02,0.796,
2011-03,0.787,
2011-04,0.775,
2011-05,0.809,
2011-06,0.816,
2011-07,0.841,
2011-08,0.805,
2011-09,0.815,
2011-10,0.864,
2011-11,0.892,
2011-12,0.926,
2012-01,0.954,
2012-02,0.935,
2012-03,0.935,
2012-04,0.989,
2012-05,1.016,
2012-06,1.052,
2012-07,1.061,
2012-08,1.133,
2012-09,1.130,
2012-10,1.134,
2012-11,1.116,
2012-12,1.076,
2013-01,1.082,
2013-02,1.115,
2013-03,1.133,
2013-04,1.215,
2013-05,1.227,
2013-06,1.283,
2013-07,1.388,
2013-08,1.377,
2013-09,1.432,
2013-10,1.341,
2013-11,1.312,
2013-12,1.164,
2014-01,1.172,
2014-02,1.214,
2014-03,1.230,
2014-04,1.293,
2014-05,1.157,
2014-06,1.206,
2014-07,1.153,
2014-08,1.230,
2014-09,1.230,
2014-10,1.249,
2014-11,1.162,
2014-12,1.009,
