"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D1.F4.T._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.D1.F4.T._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Debt instruments / Loans to resident Direct investment enterprises / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:50:24,
1991-01,78.738,
1991-02,142.381,
1991-03,197.545,
1991-04,6.501,
1991-05,146.230,
1991-06,131.523,
1991-07,280.654,
1991-08,-134.468,
1991-09,40.298,
1991-10,66.285,
1991-11,354.692,
1991-12,259.605,
1992-01,538.538,
1992-02,-72.027,
1992-03,344.871,
1992-04,93.398,
1992-05,199.550,
1992-06,121.482,
1992-07,120.860,
1992-08,-2.794,
1992-09,192.981,
1992-10,367.736,
1992-11,180.028,
1992-12,294.860,
1993-01,11.324,
1993-02,695.852,
1993-03,-64.891,
1993-04,85.992,
1993-05,253.002,
1993-06,130.040,
1993-07,-59.603,
1993-08,220.917,
1993-09,867.388,
1993-10,26.006,
1993-11,47.394,
1993-12,-154.363,
1994-01,736.268,
1994-02,394.694,
1994-03,-60.882,
1994-04,250.972,
1994-05,588.207,
1994-06,237.657,
1994-07,274.016,
1994-08,217.638,
1994-09,267.168,
1994-10,323.584,
1994-11,95.083,
1994-12,961.927,
1995-01,811.821,
1995-02,46.214,
1995-03,-89.512,
1995-04,368.610,
1995-05,-63.922,
1995-06,59.537,
1995-07,1552.339,
1995-08,187.001,
1995-09,163.687,
1995-10,139.011,
1995-11,-125.657,
1995-12,138.989,
1996-01,-1433.435,
1996-02,1255.367,
1996-03,453.751,
1996-04,1516.181,
1996-05,2372.166,
1996-06,-3169.607,
1996-07,-758.813,
1996-08,402.959,
1996-09,1536.326,
1996-10,744.959,
1996-11,1102.880,
1996-12,3898.021,
1997-01,3139.240,
1997-02,3333.786,
1997-03,2821.699,
1997-04,2569.278,
1997-05,-4088.908,
1997-06,1360.491,
1997-07,-4373.249,
1997-08,-5381.749,
