"",BBK01.OEYK01O,BBK01.OEYK01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:46,
2002-01,0.083,
2002-04,0.078,
2002-07,0.084,
2002-10,0.083,
2003-01,0.096,
2003-04,0.104,
2003-07,0.095,
2003-10,0.109,
2004-01,0.109,
2004-04,0.114,
2004-07,0.115,
2004-10,0.143,
2005-01,0.164,
2005-04,0.164,
2005-07,0.184,
2005-10,0.176,
2006-01,0.154,
2006-04,0.162,
2006-07,0.161,
2006-10,0.159,
2007-01,0.153,
2007-04,0.146,
2007-07,0.145,
2007-10,0.206,
2008-01,0.177,
2008-04,0.186,
2008-07,0.153,
2008-10,0.263,
2009-01,0.161,
2009-04,0.164,
2009-07,0.171,
2009-10,0.298,
2010-01,0.186,
2010-04,0.202,
2010-07,0.198,
2010-10,0.321,
2011-01,0.173,
2011-04,0.178,
2011-07,0.180,
2011-10,0.329,
2012-01,0.199,
2012-04,0.188,
2012-07,0.174,
2012-10,0.368,
2013-01,0.190,
2013-04,0.187,
2013-07,0.174,
2013-10,0.176,
2014-01,0.159,
2014-04,0.159,
2014-07,0.156,
