"",BBK01.OEXB12T,BBK01.OEXB12T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:14,
2002-01,1.698,
2002-04,1.719,
2002-07,1.754,
2002-10,1.773,
2003-01,1.782,
2003-04,1.788,
2003-07,1.797,
2003-10,1.805,
2004-01,1.791,
2004-04,1.796,
2004-07,1.802,
2004-10,1.779,
2005-01,1.787,
2005-04,1.807,
2005-07,1.854,
2005-10,1.897,
2006-01,1.902,
2006-04,1.935,
2006-07,1.940,
2006-10,1.978,
2007-01,2.005,
2007-04,2.062,
2007-07,2.109,
2007-10,2.117,
2008-01,2.182,
2008-04,2.229,
2008-07,2.265,
2008-10,2.362,
2009-01,2.399,
2009-04,2.450,
2009-07,2.511,
2009-10,2.641,
2010-01,2.658,
2010-04,2.691,
2010-07,2.839,
2010-10,2.947,
2011-01,3.041,
2011-04,3.099,
2011-07,3.286,
2011-10,3.412,
2012-01,3.514,
2012-04,3.586,
2012-07,3.704,
2012-10,3.770,
2013-01,3.843,
2013-04,3.825,
2013-07,3.849,
2013-10,3.856,
2014-01,3.758,
2014-04,3.734,
2014-07,3.736,
