"",BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:38,
1991-01,40.028,
1991-04,38.394,
1991-07,40.019,
1991-10,40.028,
1992-01,-2.822,
1992-04,-2.822,
1992-07,-2.844,
1992-10,-2.822,
1993-01,11.047,
1993-04,10.548,
1993-07,11.047,
1993-10,11.047,
1994-01,34.770,
1994-04,34.770,
1994-07,34.770,
1994-10,25.461,
1995-01,-5.766,
1995-04,-5.766,
1995-07,-5.766,
1995-10,-5.970,
1996-01,27.433,
1996-04,20.275,
1996-07,27.433,
1996-10,27.433,
1997-01,443.545,
1997-04,443.545,
1997-07,442.851,
1997-10,443.545,
1998-01,268.428,
1998-04,268.428,
1998-07,268.428,
1998-10,268.090,
1999-01,27.000,
1999-04,27.000,
1999-07,27.000,
1999-10,30.000,
2000-01,49.000,
2000-04,-56.567,
2000-07,51.000,
2000-10,51.000,
2001-01,-88.197,
2001-04,-0.112,
2001-07,35.059,
2001-10,-272.702,
2002-01,-16.699,
2002-04,-209.676,
2002-07,-15.066,
2002-10,-83.441,
2003-01,-30.832,
2003-04,-165.386,
2003-07,-51.791,
2003-10,-111.169,
2004-01,1.309,
2004-04,-20.681,
2004-07,91.981,
2004-10,-1.754,
2005-01,45.225,
2005-04,31.853,
2005-07,146.065,
2005-10,-154.304,
2006-01,-25.709,
2006-04,57.372,
2006-07,-11.442,
2006-10,59.779,
2007-01,62.916,
2007-04,-37.448,
2007-07,63.775,
2007-10,4.207,
2008-01,-100.158,
2008-04,-67.807,
2008-07,-60.835,
2008-10,-163.355,
2009-01,7.805,
2009-04,1.728,
2009-07,4.263,
2009-10,-14.097,
2010-01,-172.177,
2010-04,-224.440,
2010-07,-113.525,
2010-10,-297.071,
2011-01,-173.752,
2011-04,-20.277,
2011-07,21.051,
2011-10,16.434,
2012-01,28.419,
2012-04,49.456,
2012-07,96.141,
2012-10,-121.973,
2013-01,158.297,
2013-04,39.004,
2013-07,189.924,
2013-10,73.853,
2014-01,92.282,Provisional value
2014-04,138.276,Provisional value
2014-07,64.297,Provisional value
2014-10,69.180,Provisional value
