"",BBK01.OEAE08L,BBK01.OEAE08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:06,
2002-01,4.316,
2002-04,2.415,
2002-07,2.662,
2002-10,2.443,
2003-01,2.472,
2003-04,2.463,
2003-07,3.119,
2003-10,3.062,
2004-01,3.483,
2004-04,2.742,
2004-07,2.839,
2004-10,2.660,
2005-01,3.083,
2005-04,3.106,
2005-07,3.424,
2005-10,2.782,
2006-01,2.730,
2006-04,3.105,
2006-07,3.089,
2006-10,3.259,
2007-01,2.980,
2007-04,3.107,
2007-07,3.443,
2007-10,3.762,
2008-01,3.046,
2008-04,3.058,
2008-07,4.315,
2008-10,4.443,
2009-01,4.287,
2009-04,3.975,
2009-07,3.744,
2009-10,3.419,
2010-01,1.058,
2010-04,1.030,
2010-07,1.014,
2010-10,0.974,
2011-01,0.910,
2011-04,0.853,
2011-07,0.761,
2011-10,0.724,
2012-01,0.705,
2012-04,0.677,
2012-07,0.682,
2012-10,0.648,
2013-01,0.651,
2013-04,0.644,
2013-07,0.609,
2013-10,0.684,
2014-01,0.713,
2014-04,0.697,
2014-07,0.714,
