"",BBK01.OEXM02O,BBK01.OEXM02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:37,
2002-01,-0.095,
2002-04,-0.101,
2002-07,-0.018,
2002-10,-0.272,
2003-01,-0.186,
2003-04,-0.035,
2003-07,-0.255,
2003-10,-0.385,
2004-01,-0.408,
2004-04,-0.464,
2004-07,-0.622,
2004-10,-0.419,
2005-01,0.002,
2005-04,0.006,
2005-07,0.007,
2005-10,0.014,
2006-01,0.009,
2006-04,0.012,
2006-07,0.014,
2006-10,0.009,
2007-01,0.011,
2007-04,0.007,
2007-07,0.028,
2007-10,0.049,
2008-01,0.042,
2008-04,0.040,
2008-07,0.039,
2008-10,0.059,
2009-01,0.059,
2009-04,0.049,
2009-07,0.066,
2009-10,0.057,
2010-01,0.055,
2010-04,0.069,
2010-07,0.067,
2010-10,0.068,
2011-01,0.074,
2011-04,0.062,
2011-07,0.053,
2011-10,0.056,
2012-01,0.115,
2012-04,0.097,
2012-07,0.067,
2012-10,0.080,
2013-01,0.001,
2013-04,0.001,
2013-07,0.001,
2013-10,0.001,
2014-01,0.001,
2014-04,0.001,
2014-07,-,Nothing exists
