"",BBK01.CELJ02,BBK01.CELJ02_FLAGS
"",Unlisted Shares                                       debtor: Total            creditor: Domestic financial sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:47:47,
1999-01,1.1,
1999-04,0.3,
1999-07,0.2,
1999-10,-0.4,
2000-01,1.8,
2000-04,1.2,
2000-07,0.2,
2000-10,4.6,
2001-01,5.1,
2001-04,-1.2,
2001-07,1.2,
2001-10,-0.1,
2002-01,-10.8,
2002-04,-1.2,
2002-07,0.3,
2002-10,-1.6,
2003-01,0.0,
2003-04,-0.4,
2003-07,-0.2,
2003-10,0.4,
2004-01,0.4,
2004-04,-2.0,
2004-07,-0.1,
2004-10,0.3,
2005-01,0.0,
2005-04,-0.3,
2005-07,2.5,
2005-10,-1.8,
2006-01,1.5,
2006-04,-1.8,
2006-07,1.8,
2006-10,0.5,
2007-01,-5.9,
2007-04,1.1,
2007-07,-2.1,
2007-10,3.0,
2008-01,-2.3,
2008-04,-5.3,
2008-07,-2.3,
2008-10,-9.2,
2009-01,1.1,
2009-04,1.6,
2009-07,0.1,
2009-10,2.7,
2010-01,1.1,
2010-04,2.2,
2010-07,0.1,
2010-10,1.7,
2011-01,0.2,
2011-04,3.4,
2011-07,-2.4,
2011-10,2.4,
2012-01,1.3,
2012-04,0.3,
2012-07,1.9,
2012-10,6.0,
2013-01,3.7,
2013-04,-1.0,
2013-07,4.5,
2013-10,2.3,
2014-01,3.1,
2014-04,0.9,
2014-07,2.3,
