"",BBFN1.M.DE.N.1.A.LY.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.LY.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign banks arising from financial operations / Total / Libya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:20:02,
1975-12,0.007,
1976-01,0.006,
1976-02,0.010,
1976-03,0.007,
1976-04,0.007,
1976-05,0.007,
1976-06,0.007,
1976-07,0.013,
1976-08,0.007,
1976-09,0.007,
1976-10,0.005,
1976-11,0.007,
1976-12,0.016,
1977-01,0.005,
1977-02,0.006,
1977-03,0.005,
1977-04,0.005,
1977-05,0.005,
1977-06,0.006,
1977-07,0.005,
1977-08,0.008,
1977-09,0.007,
1977-10,0.010,
1977-11,0.009,
1977-12,0.008,
1978-01,0.005,
1978-02,0.005,
1978-03,0.008,
1978-04,0.008,
1978-05,0.008,
1978-06,0.009,
1978-07,0.009,
1978-08,0.008,
1978-09,0.007,
1978-10,0.009,
1978-11,0.011,
1978-12,0.013,
1979-01,0.018,
1979-02,0.016,
1979-03,0.014,
1979-04,0.007,
1979-05,0.010,
1979-06,0.009,
1979-07,0.007,
1979-08,0.007,
1979-09,0.010,
1979-10,0.010,
1979-11,0.011,
1979-12,0.011,
1980-01,0.013,
1980-02,0.013,
1980-03,0.010,
1980-04,0.019,
1980-05,0.024,
1980-06,0.020,
1980-07,0.021,
1980-08,0.019,
1980-09,0.011,
1980-10,0.020,
1980-11,0.022,
1980-12,0.025,
1981-01,0.044,
1981-02,0.030,
1981-03,0.028,
1981-04,0.030,
1981-05,0.038,
1981-06,0.051,
1981-07,0.041,
1981-08,0.041,
1981-09,0.039,
1981-10,0.042,
1981-11,0.032,
1981-12,0.030,
1982-01,0.038,
1982-02,0.030,
1982-03,0.032,
1982-04,0.032,
1982-05,0.033,
1982-06,0.038,
1982-07,0.042,
1982-08,0.037,
1982-09,0.038,
1982-10,0.035,
1982-11,0.031,
1982-12,0.030,
1983-01,0.031,
1983-02,0.030,
1983-03,0.031,
1983-04,0.026,
1983-05,0.020,
1983-06,0.017,
1983-07,0.025,
1983-08,0.026,
1983-09,0.026,
1983-10,0.024,
1983-11,0.021,
1983-12,0.019,
1984-01,0.027,
1984-02,0.023,
1984-03,0.025,
1984-04,0.024,
1984-05,0.025,
1984-06,0.029,
1984-07,0.027,
1984-08,0.024,
1984-09,0.028,
1984-10,0.026,
1984-11,0.029,
1984-12,0.026,
1985-01,0.031,
1985-02,0.029,
1985-03,0.036,
1985-04,0.033,
1985-05,0.033,
1985-06,0.023,
1985-07,0.039,
1985-08,0.040,
1985-09,0.039,
1985-10,0.045,
1985-11,0.040,
1985-12,0.039,
1986-01,0.038,
1986-02,0.035,
1986-03,0.038,
1986-04,0.041,
1986-05,0.041,
1986-06,0.044,
1986-07,0.044,
1986-08,0.040,
1986-09,0.043,
1986-10,0.038,
1986-11,0.042,
1986-12,0.047,
1987-01,0.050,
1987-02,0.052,
1987-03,0.051,
1987-04,0.048,
1987-05,0.049,
1987-06,0.052,
1987-07,0.050,
1987-08,0.052,
1987-09,.,No value available
1987-10,.,No value available
1987-11,.,No value available
1987-12,.,No value available
1988-01,.,No value available
1988-02,.,No value available
1988-03,.,No value available
1988-04,.,No value available
1988-05,.,No value available
1988-06,.,No value available
1988-07,.,No value available
1988-08,.,No value available
1988-09,.,No value available
1988-10,.,No value available
1988-11,.,No value available
1988-12,.,No value available
1989-01,.,No value available
1989-02,.,No value available
1989-03,.,No value available
1989-04,.,No value available
1989-05,.,No value available
1989-06,.,No value available
1989-07,.,No value available
1989-08,.,No value available
1989-09,.,No value available
1989-10,.,No value available
1989-11,.,No value available
1989-12,.,No value available
1990-01,.,No value available
1990-02,.,No value available
1990-03,.,No value available
1990-04,.,No value available
1990-05,.,No value available
1990-06,0.051,
1990-07,0.050,
1990-08,0.050,
1990-09,.,No value available
1990-10,.,No value available
1990-11,.,No value available
1990-12,0.047,
1991-01,0.047,
1991-02,0.046,
1991-03,0.047,
1991-04,0.047,
1991-05,0.046,
1991-06,0.047,
1991-07,0.044,
1991-08,0.048,
1991-09,0.046,
1991-10,0.048,
1991-11,0.047,
1991-12,.,No value available
1992-01,.,No value available
1992-02,.,No value available
1992-03,.,No value available
1992-04,0.033,
1992-05,0.033,
1992-06,0.028,
1992-07,0.028,
1992-08,0.027,
1992-09,0.027,
1992-10,0.029,
1992-11,0.029,
1992-12,0.026,
1993-01,0.027,
1993-02,0.027,
1993-03,0.027,
1993-04,0.025,
1993-05,0.026,
1993-06,0.025,
1993-07,0.026,
1993-08,0.024,
1993-09,0.021,
1993-10,0.022,
1993-11,0.023,
1993-12,0.022,
1994-01,0.020,
1994-02,0.021,
1994-03,0.021,
1994-04,0.019,
1994-05,0.018,
1994-06,0.017,
1994-07,0.017,
1994-08,0.020,
1994-09,0.016,
1994-10,0.021,
1994-11,0.019,
1994-12,.,No value available
1995-01,.,No value available
1995-02,.,No value available
1995-03,.,No value available
1995-04,.,No value available
1995-05,.,No value available
1995-06,.,No value available
1995-07,.,No value available
1995-08,.,No value available
1995-09,.,No value available
1995-10,.,No value available
1995-11,.,No value available
1995-12,.,No value available
1996-01,.,No value available
1996-02,.,No value available
1996-03,.,No value available
1996-04,.,No value available
1996-05,.,No value available
1996-06,.,No value available
1996-07,.,No value available
1996-08,.,No value available
1996-09,.,No value available
1996-10,.,No value available
1996-11,.,No value available
1996-12,.,No value available
1997-01,.,No value available
1997-02,.,No value available
1997-03,.,No value available
1997-04,.,No value available
1997-05,.,No value available
1997-06,.,No value available
1997-07,.,No value available
1997-08,0.017,
1997-09,.,No value available
1997-10,0.018,
1997-11,0.024,
1997-12,0.020,
1998-01,0.024,
1998-02,0.025,
1998-03,0.022,
1998-04,0.020,
1998-05,0.018,
1998-06,0.019,
1998-07,0.022,
1998-08,0.021,
1998-09,0.017,
1998-10,0.015,
1998-11,0.016,
1998-12,0.016,
1999-01,0.013,
1999-02,0.014,
1999-03,0.013,
1999-04,0.022,
1999-05,0.015,
1999-06,0.008,
1999-07,0.008,
1999-08,0.008,
1999-09,0.009,
1999-10,0.008,
1999-11,0.010,
1999-12,0.011,
2000-01,0.013,
2000-02,0.014,
2000-03,0.015,
2000-04,0.016,
2000-05,0.015,
2000-06,0.017,
2000-07,0.017,
2000-08,0.020,
2000-09,0.019,
2000-10,0.019,
2000-11,0.020,
2000-12,0.018,
2001-01,0.019,
2001-02,0.019,
2001-03,0.020,
2001-04,0.020,
2001-05,0.021,
2001-06,0.020,
2001-07,0.021,
2001-08,0.020,
2001-09,0.021,
2001-10,0.021,
2001-11,0.022,
2001-12,0.022,
2002-01,0.019,
2002-02,0.022,
2002-03,0.016,
2002-04,0.013,
2002-05,0.018,
2002-06,0.022,
2002-07,0.019,
2002-08,0.017,
2002-09,0.022,
2002-10,0.030,
2002-11,0.021,
2002-12,0.023,
2003-01,0.021,
2003-02,0.023,
2003-03,0.024,
2003-04,0.015,
2003-05,0.013,
2003-06,0.018,
2003-07,0.018,
2003-08,0.015,
2003-09,0.016,
2003-10,0.015,
2003-11,0.016,
2003-12,0.012,
2004-01,0.010,
2004-02,0.007,
2004-03,0.012,
2004-04,0.009,
2004-05,0.011,
2004-06,0.015,
2004-07,0.008,
2004-08,0.009,
2004-09,0.004,
2004-10,0.005,
2004-11,0.006,
2004-12,0.004,
2005-01,0.003,
2005-02,0.005,
2005-03,0.007,
2005-04,0.004,
2005-05,0.004,
2005-06,0.007,
2005-07,0.012,
2005-08,0.008,
2005-09,0.010,
2005-10,0.010,
2005-11,0.012,
2005-12,0.008,
2006-01,0.007,
2006-02,0.007,
2006-03,0.005,
2006-04,0.008,
2006-05,0.007,
2006-06,0.011,
2006-07,0.014,
2006-08,0.014,
2006-09,0.021,
2006-10,0.011,
2006-11,0.011,
2006-12,0.008,
2007-01,0.005,
2007-02,0.004,
2007-03,0.005,
2007-04,0.004,
2007-05,0.005,
2007-06,0.006,
2007-07,0.005,
2007-08,0.004,
2007-09,0.006,
2007-10,0.006,
2007-11,0.004,
2007-12,0.004,
2008-01,0.005,
2008-02,0.005,
2008-03,0.005,
2008-04,0.003,
2008-05,0.002,
2008-06,0.003,
2008-07,0.004,
2008-08,0.004,
2008-09,0.005,
2008-10,0.004,
2008-11,0.004,
2008-12,0.002,
2009-01,0.004,
2009-02,0.004,
2009-03,0.004,
2009-04,0.004,
2009-05,0.006,
2009-06,0.004,
2009-07,0.004,
2009-08,0.006,
2009-09,0.005,
2009-10,0.005,
2009-11,0.004,
2009-12,0.003,
2010-01,.,No value available
2010-02,.,No value available
2010-03,.,No value available
2010-04,.,No value available
2010-05,.,No value available
2010-06,.,No value available
2010-07,.,No value available
2010-08,.,No value available
2010-09,.,No value available
2010-10,.,No value available
2010-11,.,No value available
2010-12,.,No value available
2011-01,0.014,
2011-02,0.015,
2011-03,0.012,
2011-04,0.012,
2011-05,0.012,
2011-06,0.011,
2011-07,0.011,
2011-08,0.009,
2011-09,0.010,
2011-10,0.010,
2011-11,0.010,
2011-12,0.009,
2012-01,0.014,
2012-02,0.014,
2012-03,0.013,
2012-04,0.013,
2012-05,0.013,
2012-06,0.009,
2012-07,0.008,
2012-08,0.009,
2012-09,0.006,
2012-10,0.007,
2012-11,0.010,
2012-12,0.010,
2013-01,0.010,
2013-02,0.007,
2013-03,0.006,
2013-04,0.009,
2013-05,0.008,
2013-06,0.007,
2013-07,0.007,
2013-08,0.007,
2013-09,0.006,
2013-10,0.005,
2013-11,0.004,
2013-12,0.004,
2014-01,0.006,
2014-02,0.006,
2014-03,0.005,
2014-04,0.006,
2014-05,0.004,
2014-06,0.007,
2014-07,0.006,
2014-08,.,No value available
2014-09,.,No value available
2014-10,.,No value available
2014-11,.,No value available
2014-12,.,No value available
