"",BBK01.OXB8Z3,BBK01.OXB8Z3_FLAGS
"",Trading portfolio derivatives (included in other liabilities) / Commercial banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:42,
2010-12,794.039,
2011-01,716.967,
2011-02,682.203,
2011-03,624.932,
2011-04,620.927,
2011-05,668.243,
2011-06,594.627,
2011-07,707.004,
2011-08,850.962,
2011-09,956.658,
2011-10,834.413,
2011-11,823.979,
2011-12,902.472,
2012-01,893.926,
2012-02,858.186,
2012-03,810.792,
2012-04,838.242,
2012-05,1042.288,
2012-06,896.080,
2012-07,971.713,
2012-08,933.817,
2012-09,898.936,
2012-10,843.506,
2012-11,849.647,
2012-12,833.204,
2013-01,749.708,
2013-02,754.395,
2013-03,750.495,
2013-04,778.182,
2013-05,684.256,
2013-06,623.339,
2013-07,613.546,
2013-08,572.388,
2013-09,584.029,
2013-10,589.460,
2013-11,589.375,
2013-12,535.520,
2014-01,556.788,
2014-02,531.643,
2014-03,517.855,
2014-04,522.762,
2014-05,549.624,
2014-06,551.231,
2014-07,566.563,
2014-08,634.362,
2014-09,621.238,
2014-10,621.866,
2014-11,661.716,
2014-12,685.674,Provisional value
