"",BBK01.OEAA11V,BBK01.OEAA11V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:21:06,
2002-01,6.471,
2002-04,7.175,
2002-07,6.777,
2002-10,7.426,
2003-01,6.485,
2003-04,6.201,
2003-07,6.207,
2003-10,6.226,
2004-01,5.805,
2004-04,5.757,
2004-07,5.558,
2004-10,5.281,
2005-01,5.276,
2005-04,5.141,
2005-07,5.157,
2005-10,4.925,
2006-01,4.782,
2006-04,4.593,
2006-07,4.517,
2006-10,4.397,
2007-01,4.146,
2007-04,4.080,
2007-07,4.013,
2007-10,4.483,
2008-01,4.042,
2008-04,3.778,
2008-07,3.957,
2008-10,3.843,
2009-01,3.691,
2009-04,3.775,
2009-07,3.633,
2009-10,3.572,
2010-01,3.483,
2010-04,3.660,
2010-07,3.597,
2010-10,3.262,
2011-01,3.095,
2011-04,3.223,
2011-07,3.407,
2011-10,3.296,
2012-01,3.141,
2012-04,3.165,
2012-07,3.163,
2012-10,3.099,
2013-01,3.124,
2013-04,3.078,
2013-07,3.342,
2013-10,3.098,
2014-01,3.121,
2014-04,3.332,
2014-07,3.343,
