"",BBK01.OEHI04V,BBK01.OEHI04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:48,
2002-01,1.754,
2002-04,1.831,
2002-07,1.575,
2002-10,1.839,
2003-01,1.635,
2003-04,1.470,
2003-07,1.633,
2003-10,1.720,
2004-01,1.394,
2004-04,1.301,
2004-07,1.239,
2004-10,1.467,
2005-01,1.287,
2005-04,1.244,
2005-07,1.258,
2005-10,1.433,
2006-01,1.274,
2006-04,1.588,
2006-07,1.179,
2006-10,1.609,
2007-01,1.694,
2007-04,1.596,
2007-07,1.623,
2007-10,1.890,
2008-01,1.851,
2008-04,1.895,
2008-07,1.951,
2008-10,2.539,
2009-01,1.700,
2009-04,1.418,
2009-07,1.153,
2009-10,1.272,
2010-01,1.066,
2010-04,1.131,
2010-07,1.103,
2010-10,1.142,
2011-01,0.994,
2011-04,1.013,
2011-07,1.298,
2011-10,1.082,
2012-01,0.800,
2012-04,1.119,
2012-07,1.031,
2012-10,1.130,
2013-01,1.030,
2013-04,0.967,
2013-07,0.906,
2013-10,1.091,
2014-01,1.145,
2014-04,1.243,
2014-07,1.192,
