"",BBK01.OEAL01H,BBK01.OEAL01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:53,
2002-01,201.332,
2002-04,198.489,
2002-07,197.478,
2002-10,202.738,
2003-01,204.244,
2003-04,203.739,
2003-07,203.790,
2003-10,206.356,
2004-01,206.899,
2004-04,202.359,
2004-07,201.730,
2004-10,205.960,
2005-01,215.998,
2005-04,216.892,
2005-07,216.809,
2005-10,220.825,
2006-01,221.825,
2006-04,222.262,
2006-07,219.905,
2006-10,223.143,
2007-01,225.222,
2007-04,227.960,
2007-07,229.939,
2007-10,235.997,
2008-01,237.290,
2008-04,237.665,
2008-07,237.668,
2008-10,249.277,
2009-01,251.820,
2009-04,252.775,
2009-07,251.540,
2009-10,254.930,
2010-01,254.441,
2010-04,256.362,
2010-07,255.728,
2010-10,260.062,
2011-01,261.448,
2011-04,262.402,
2011-07,262.578,
2011-10,267.090,
2012-01,269.410,
2012-04,271.236,
2012-07,272.118,
2012-10,274.468,
2013-01,275.742,
2013-04,277.342,
2013-07,276.460,
2013-10,281.385,
2014-01,282.244,
2014-04,284.099,
2014-07,285.753,
