"",BBK01.OEYB05K,BBK01.OEYB05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:57,
2002-01,79.282,
2002-04,78.912,
2002-07,83.240,
2002-10,84.346,
2003-01,83.562,
2003-04,78.372,
2003-07,78.363,
2003-10,79.496,
2004-01,79.790,
2004-04,89.171,
2004-07,87.630,
2004-10,84.736,
2005-01,85.008,
2005-04,85.817,
2005-07,85.984,
2005-10,85.673,
2006-01,85.462,
2006-04,85.284,
2006-07,84.841,
2006-10,83.566,
2007-01,78.599,
2007-04,78.877,
2007-07,77.234,
2007-10,75.897,
2008-01,79.414,
2008-04,80.010,
2008-07,81.470,
2008-10,82.167,
2009-01,81.315,
2009-04,79.938,
2009-07,77.082,
2009-10,70.906,
2010-01,70.364,
2010-04,70.848,
2010-07,72.765,
2010-10,72.292,
2011-01,70.219,
2011-04,68.744,
2011-07,73.777,
2011-10,73.835,
2012-01,71.962,
2012-04,66.580,
2012-07,66.949,
2012-10,61.501,
2013-01,60.312,
2013-04,61.066,
2013-07,60.168,
2013-10,54.375,
2014-01,53.840,
2014-04,53.937,
2014-07,53.488,
