"",BBK01.OEAE08K,BBK01.OEAE08K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:51,
2002-01,1.641,
2002-04,1.694,
2002-07,1.548,
2002-10,1.632,
2003-01,1.524,
2003-04,1.621,
2003-07,1.656,
2003-10,1.579,
2004-01,1.184,
2004-04,0.847,
2004-07,1.207,
2004-10,1.185,
2005-01,1.391,
2005-04,1.364,
2005-07,1.385,
2005-10,1.438,
2006-01,1.418,
2006-04,1.360,
2006-07,1.243,
2006-10,1.181,
2007-01,1.027,
2007-04,0.919,
2007-07,0.938,
2007-10,1.054,
2008-01,1.382,
2008-04,1.487,
2008-07,1.385,
2008-10,1.455,
2009-01,1.289,
2009-04,1.714,
2009-07,1.201,
2009-10,1.444,
2010-01,0.970,
2010-04,0.953,
2010-07,0.641,
2010-10,0.627,
2011-01,0.596,
2011-04,0.588,
2011-07,0.642,
2011-10,0.601,
2012-01,0.608,
2012-04,0.599,
2012-07,0.596,
2012-10,0.622,
2013-01,0.586,
2013-04,0.611,
2013-07,0.573,
2013-10,0.509,
2014-01,0.487,
2014-04,0.403,
2014-07,0.413,
