"",BBK01.OEXB19O,BBK01.OEXB19O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:15,
2002-01,-0.014,
2002-04,-0.031,
2002-07,-0.057,
2002-10,-0.069,
2003-01,-0.064,
2003-04,-0.074,
2003-07,-0.079,
2003-10,-0.088,
2004-01,-0.098,
2004-04,-0.644,
2004-07,-0.794,
2004-10,-1.578,
2005-01,0.217,
2005-04,0.218,
2005-07,0.215,
2005-10,0.215,
2006-01,0.210,
2006-04,0.206,
2006-07,0.213,
2006-10,0.229,
2007-01,0.232,
2007-04,0.231,
2007-07,0.237,
2007-10,0.228,
2008-01,0.227,
2008-04,0.230,
2008-07,0.226,
2008-10,0.220,
2009-01,0.260,
2009-04,0.277,
2009-07,0.287,
2009-10,0.291,
2010-01,0.309,
2010-04,0.331,
2010-07,0.338,
2010-10,0.354,
2011-01,0.365,
2011-04,0.371,
2011-07,0.378,
2011-10,0.352,
2012-01,0.583,
2012-04,0.733,
2012-07,0.689,
2012-10,0.651,
2013-01,0.616,
2013-04,0.576,
2013-07,0.540,
2013-10,0.323,
2014-01,0.321,
2014-04,0.314,
2014-07,0.306,
