"",BBK01.OEYB01S,BBK01.OEYB01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:28,
2002-01,6.219,
2002-04,6.240,
2002-07,6.296,
2002-10,6.385,
2003-01,6.375,
2003-04,6.370,
2003-07,6.411,
2003-10,6.579,
2004-01,6.445,
2004-04,6.524,
2004-07,6.560,
2004-10,5.124,
2005-01,5.048,
2005-04,5.047,
2005-07,5.020,
2005-10,4.976,
2006-01,4.928,
2006-04,4.952,
2006-07,4.985,
2006-10,4.894,
2007-01,5.006,
2007-04,5.152,
2007-07,5.300,
2007-10,5.278,
2008-01,5.389,
2008-04,5.492,
2008-07,5.623,
2008-10,5.640,
2009-01,5.629,
2009-04,5.764,
2009-07,5.759,
2009-10,5.842,
2010-01,5.891,
2010-04,5.933,
2010-07,5.960,
2010-10,5.989,
2011-01,6.064,
2011-04,6.346,
2011-07,6.534,
2011-10,6.749,
2012-01,6.754,
2012-04,6.833,
2012-07,6.837,
2012-10,6.911,
2013-01,6.808,
2013-04,6.784,
2013-07,6.704,
2013-10,6.644,
2014-01,6.553,
2014-04,6.385,
2014-07,6.453,
