"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.NO.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.NO.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Norway,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:16,
2009-09,4588,
2009-10,4440,
2009-11,4645,
2009-12,4717,
2010-01,4802,
2010-02,4825,
2010-03,5285,
2010-04,5636,
2010-05,5716,
2010-06,6107,
2010-07,6113,
2010-08,6843,
2010-09,6832,
2010-10,6722,
2010-11,6541,
2010-12,6589,
2011-01,6974,
2011-02,7283,
2011-03,7120,
2011-04,6952,
2011-05,6859,
2011-06,6839,
2011-07,6969,
2011-08,6985,
2011-09,7201,
2011-10,7520,
2011-11,7594,
2011-12,7792,
2012-01,8371,
2012-02,8255,
2012-03,8971,
2012-04,9074,
2012-05,9330,
2012-06,9862,
2012-07,10154,
2012-08,10393,
2012-09,9969,
2012-10,9777,
2012-11,10451,
2012-12,10428,
2013-01,10462,
2013-02,10361,
2013-03,10463,
2013-04,10683,
2013-05,10639,
2013-06,10493,
2013-07,10381,
2013-08,10332,
2013-09,10517,
2013-10,10442,
2013-11,10719,
2013-12,10761,
2014-01,10832,
2014-02,10834,
2014-03,10938,
2014-04,10890,
2014-05,10839,
2014-06,10780,
2014-07,10831,
2014-08,10904,
2014-09,10769,
2014-10,10872,
2014-11,10744,
