"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.NMFIS.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.Z5.NMFIS.000000.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Non-MFIs (incl. General Government),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:45,
2009-09,162019,
2009-10,158170,
2009-11,160196,
2009-12,170699,
2010-01,165940,
2010-02,167810,
2010-03,182265,
2010-04,189939,
2010-05,181669,
2010-06,174275,
2010-07,176848,
2010-08,173827,
2010-09,182410,
2010-10,190827,
2010-11,195703,
2010-12,207686,
2011-01,206832,
2011-02,209240,
2011-03,205285,
2011-04,209877,
2011-05,208654,
2011-06,204939,
2011-07,204514,
2011-08,177507,
2011-09,169188,
2011-10,184983,
2011-11,180368,
2011-12,183247,
2012-01,191930,
2012-02,198407,
2012-03,198270,
2012-04,194882,
2012-05,183963,
2012-06,187468,
2012-07,199583,
2012-08,200727,
2012-09,203305,
2012-10,203089,
2012-11,206222,
2012-12,211427,
2013-01,217477,
2013-02,221891,
2013-03,228909,
2013-04,230986,
2013-05,236106,
2013-06,225064,
2013-07,236425,
2013-08,234431,
2013-09,243659,
2013-10,253612,
2013-11,260211,
2013-12,259359,
2014-01,251097,
2014-02,260727,
2014-03,259798,
2014-04,263737,
2014-05,270534,
2014-06,271691,
2014-07,267585,
2014-08,273024,
2014-09,270536,
2014-10,270013,
2014-11,279274,
