"",BBK01.OEXL09L,BBK01.OEXL09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:41,
2002-01,0.722,
2002-04,0.665,
2002-07,0.702,
2002-10,0.657,
2003-01,0.574,
2003-04,0.512,
2003-07,0.466,
2003-10,0.453,
2004-01,0.438,
2004-04,0.410,
2004-07,0.386,
2004-10,0.380,
2005-01,0.395,
2005-04,0.381,
2005-07,0.333,
2005-10,0.334,
2006-01,0.333,
2006-04,0.399,
2006-07,0.418,
2006-10,0.459,
2007-01,0.678,
2007-04,0.754,
2007-07,0.848,
2007-10,1.009,
2008-01,1.079,
2008-04,1.120,
2008-07,1.189,
2008-10,1.782,
2009-01,1.745,
2009-04,1.728,
2009-07,1.724,
2009-10,1.364,
2010-01,1.069,
2010-04,1.040,
2010-07,1.011,
2010-10,1.281,
2011-01,1.501,
2011-04,1.550,
2011-07,1.580,
2011-10,1.522,
2012-01,1.359,
2012-04,1.362,
2012-07,1.296,
2012-10,1.108,
2013-01,0.919,
2013-04,0.814,
2013-07,0.783,
2013-10,0.760,
2014-01,0.710,
2014-04,0.692,
2014-07,0.931,
