"",BBDE1.M.DE.W.AEA1.A2P300000.F.V.I10.A,BBDE1.M.DE.W.AEA1.A2P300000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / Industry / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:01,
1991-01,64.6,
1991-02,62.3,
1991-03,69.5,
1991-04,60.2,
1991-05,58.8,
1991-06,62.1,
1991-07,59.3,
1991-08,57.8,
1991-09,62.7,
1991-10,62.6,
1991-11,63.2,
1991-12,59.6,
1992-01,63.1,
1992-02,64.1,
1992-03,69.6,
1992-04,60.3,
1992-05,58.1,
1992-06,59.5,
1992-07,56.5,
1992-08,52.9,
1992-09,60.6,
1992-10,55.7,
1992-11,55.9,
1992-12,53.1,
1993-01,55.5,
1993-02,54.5,
1993-03,58.3,
1993-04,51.9,
1993-05,52.2,
1993-06,53.8,
1993-07,53.0,
1993-08,48.9,
1993-09,57.9,
1993-10,55.5,
1993-11,55.4,
1993-12,53.9,
1994-01,54.3,
1994-02,56.9,
1994-03,64.3,
1994-04,57.1,
1994-05,55.5,
1994-06,59.5,
1994-07,57.6,
1994-08,52.8,
1994-09,63.1,
1994-10,61.9,
1994-11,62.7,
1994-12,61.1,
1995-01,60.4,
1995-02,62.2,
1995-03,67.8,
1995-04,60.2,
1995-05,60.1,
1995-06,61.0,
1995-07,61.2,
1995-08,54.3,
1995-09,63.7,
1995-10,59.1,
1995-11,60.6,
1995-12,57.4,
1996-01,59.0,
1996-02,58.9,
1996-03,66.9,
1996-04,59.7,
1996-05,58.7,
1996-06,62.7,
1996-07,60.6,
1996-08,55.8,
1996-09,63.2,
1996-10,62.6,
1996-11,62.2,
1996-12,57.7,
1997-01,62.1,
1997-02,63.0,
1997-03,71.4,
1997-04,65.1,
1997-05,62.9,
1997-06,66.9,
1997-07,65.5,
1997-08,60.9,
1997-09,70.4,
1997-10,68.4,
1997-11,67.8,
1997-12,64.5,
1998-01,68.9,
1998-02,69.0,
1998-03,76.8,
1998-04,69.2,
1998-05,67.1,
1998-06,70.0,
1998-07,68.6,
1998-08,61.3,
1998-09,71.0,
1998-10,67.1,
1998-11,66.1,
1998-12,63.0,
1999-01,65.7,
1999-02,66.4,
1999-03,72.7,
1999-04,66.5,
