"",BBK01.OECB15G,BBK01.OECB15G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:48,
2002-01,0.301,
2002-04,0.274,
2002-07,0.255,
2002-10,0.229,
2003-01,0.211,
2003-04,0.205,
2003-07,0.212,
2003-10,0.181,
2004-01,0.186,
2004-04,0.178,
2004-07,0.172,
2004-10,0.179,
2005-01,0.178,
2005-04,0.183,
2005-07,0.182,
2005-10,0.183,
2006-01,0.180,
2006-04,0.173,
2006-07,0.181,
2006-10,0.176,
2007-01,0.171,
2007-04,0.159,
2007-07,0.170,
2007-10,0.170,
2008-01,0.169,
2008-04,0.157,
2008-07,0.151,
2008-10,0.142,
2009-01,0.148,
2009-04,0.142,
2009-07,0.142,
2009-10,0.135,
2010-01,0.138,
2010-04,0.141,
2010-07,0.138,
2010-10,0.122,
2011-01,0.130,
2011-04,0.108,
2011-07,0.109,
2011-10,0.102,
2012-01,0.096,
2012-04,0.092,
2012-07,0.090,
2012-10,0.093,
2013-01,0.089,
2013-04,0.079,
2013-07,0.080,
2013-10,0.072,
2014-01,0.065,
2014-04,0.065,
2014-07,0.062,
