"",BBK01.OEAE12Q,BBK01.OEAE12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:22,
2002-01,0.387,
2002-04,0.358,
2002-07,0.438,
2002-10,1.097,
2003-01,0.979,
2003-04,0.990,
2003-07,1.116,
2003-10,0.317,
2004-01,0.403,
2004-04,0.265,
2004-07,0.362,
2004-10,0.254,
2005-01,0.229,
2005-04,0.286,
2005-07,0.482,
2005-10,0.430,
2006-01,0.474,
2006-04,0.521,
2006-07,0.501,
2006-10,0.459,
2007-01,0.602,
2007-04,0.829,
2007-07,0.487,
2007-10,0.501,
2008-01,0.642,
2008-04,0.683,
2008-07,0.570,
2008-10,0.689,
2009-01,0.643,
2009-04,0.434,
2009-07,0.428,
2009-10,0.406,
2010-01,0.430,
2010-04,0.458,
2010-07,0.353,
2010-10,0.375,
2011-01,0.397,
2011-04,0.357,
2011-07,0.357,
2011-10,0.360,
2012-01,0.394,
2012-04,0.395,
2012-07,0.084,
2012-10,0.081,
2013-01,0.142,
2013-04,0.097,
2013-07,0.086,
2013-10,0.198,
2014-01,0.047,
2014-04,0.084,
2014-07,0.064,
