"",BBSF2.M.1.S.00000.TOT01.I.F.INV.U9.00000.F05200.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.INV.U9.00000.F05200.Z01.00_FLAGS
"",Special investors funds / Funds total / Investment fund shares / All areas other than EU and ref./home area,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:51,
2009-09,632,
2009-10,658,
2009-11,692,
2009-12,826,
2010-01,955,
2010-02,1034,
2010-03,1087,
2010-04,1107,
2010-05,1161,
2010-06,1155,
2010-07,1073,
2010-08,1121,
2010-09,1110,
2010-10,1113,
2010-11,1212,
2010-12,1237,
2011-01,1213,
2011-02,1206,
2011-03,1220,
2011-04,1214,
2011-05,1759,
2011-06,1984,
2011-07,2100,
2011-08,1963,
2011-09,1121,
2011-10,1159,
2011-11,1167,
2011-12,1126,
2012-01,1266,
2012-02,1280,
2012-03,1313,
2012-04,1310,
2012-05,1334,
2012-06,1247,
2012-07,1353,
2012-08,1371,
2012-09,1341,
2012-10,1484,
2012-11,1486,
2012-12,1455,
2013-01,1388,
2013-02,1339,
2013-03,1378,
2013-04,1371,
2013-05,1296,
2013-06,1264,
2013-07,1250,
2013-08,1213,
2013-09,1184,
2013-10,1253,
2013-11,1238,
2013-12,1253,
2014-01,1299,
2014-02,1310,
2014-03,1313,
2014-04,1219,
2014-05,1213,
2014-06,1220,
2014-07,1235,
2014-08,1248,
2014-09,1080,
2014-10,1083,
2014-11,1103,
