"",BBK01.OEXJ08G,BBK01.OEXJ08G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:05,
2002-01,0.031,
2002-04,0.034,
2002-07,0.031,
2002-10,0.032,
2003-01,0.040,
2003-04,0.040,
2003-07,0.044,
2003-10,0.052,
2004-01,0.042,
2004-04,0.047,
2004-07,0.050,
2004-10,0.057,
2005-01,0.066,
2005-04,0.087,
2005-07,0.008,
2005-10,0.008,
2006-01,0.008,
2006-04,0.008,
2006-07,0.008,
2006-10,0.007,
2007-01,0.005,
2007-04,0.005,
2007-07,0.005,
2007-10,0.017,
2008-01,0.020,
2008-04,0.021,
2008-07,0.023,
2008-10,0.023,
2009-01,0.023,
2009-04,0.023,
2009-07,0.023,
2009-10,0.022,
2010-01,0.022,
2010-04,0.022,
2010-07,0.023,
2010-10,0.024,
2011-01,0.025,
2011-04,0.026,
2011-07,0.027,
2011-10,0.011,
2012-01,0.011,
2012-04,0.012,
2012-07,0.017,
2012-10,0.018,
2013-01,0.018,
2013-04,0.015,
2013-07,0.013,
2013-10,0.012,
2014-01,0.014,
2014-04,0.015,
2014-07,0.014,
