"",BBFB1.Q.N.DE.IE.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:42,
1991-01,472.222,
1991-04,273.076,
1991-07,193.727,
1991-10,553.397,
1992-01,568.645,
1992-04,505.626,
1992-07,-327.298,
1992-10,-154.970,
1993-01,199.194,
1993-04,601.476,
1993-07,279.604,
1993-10,264.202,
1994-01,474.149,
1994-04,-10.407,
1994-07,254.862,
1994-10,1052.896,
1995-01,863.549,
1995-04,818.354,
1995-07,311.208,
1995-10,2321.492,
1996-01,1757.701,
1996-04,648.667,
1996-07,1606.448,
1996-10,404.632,
1997-01,734.150,
1997-04,2516.931,
1997-07,1344.899,
1997-10,2132.130,
1998-01,2607.822,
1998-04,1543.477,
1998-07,502.312,
1998-10,1353.574,
1999-01,2940.608,
1999-04,540.677,
1999-07,1718.037,
1999-10,499.437,
2000-01,9640.163,
2000-04,1384.717,
2000-07,2122.508,
2000-10,15.612,
2001-01,3236.354,
2001-04,1726.408,
2001-07,1494.475,
2001-10,1845.387,
2002-01,3859.031,
2002-04,-263.287,
2002-07,1007.677,
2002-10,-1.834,
2003-01,3287.690,
2003-04,3885.053,
2003-07,569.925,
2003-10,3121.374,
2004-01,2144.930,
2004-04,2071.794,
2004-07,4723.293,
2004-10,782.455,
2005-01,7113.181,
2005-04,4130.757,
2005-07,2838.754,
2005-10,7170.175,
2006-01,698.700,
2006-04,1246.912,
2006-07,3501.360,
2006-10,2209.218,
2007-01,2844.560,
2007-04,-1890.754,
2007-07,4985.050,
2007-10,2210.483,
2008-01,451.747,
2008-04,-594.317,
2008-07,1072.979,
2008-10,-123.379,
2009-01,-2685.888,
2009-04,-966.747,
2009-07,-1750.112,
2009-10,-3828.932,
2010-01,344.356,
2010-04,-143.505,
2010-07,10752.428,
2010-10,34144.783,
2011-01,-26969.096,
2011-04,150.563,
2011-07,-1001.049,
2011-10,21580.378,
2012-01,-31973.372,
2012-04,-2910.894,
2012-07,483.167,
2012-10,1801.955,
2013-01,-2249.999,
2013-04,1103.845,
2013-07,-6250.207,
2013-10,594.334,
2014-01,-15.242,Provisional value
2014-04,-1456.991,Provisional value
2014-07,1554.318,Provisional value
2014-10,342.110,Provisional value
