"",BBK01.OEAF02I,BBK01.OEAF02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:32,
2002-01,21.422,
2002-04,21.502,
2002-07,21.168,
2002-10,20.957,
2003-01,20.949,
2003-04,21.609,
2003-07,21.082,
2003-10,20.683,
2004-01,20.862,
2004-04,21.027,
2004-07,22.025,
2004-10,21.900,
2005-01,23.405,
2005-04,23.517,
2005-07,24.304,
2005-10,25.015,
2006-01,25.268,
2006-04,25.383,
2006-07,26.165,
2006-10,26.081,
2007-01,27.276,
2007-04,27.759,
2007-07,28.377,
2007-10,28.407,
2008-01,29.827,
2008-04,31.955,
2008-07,33.167,
2008-10,35.380,
2009-01,35.580,
2009-04,37.327,
2009-07,37.341,
2009-10,37.651,
2010-01,37.388,
2010-04,37.413,
2010-07,36.554,
2010-10,35.876,
2011-01,35.430,
2011-04,35.048,
2011-07,34.773,
2011-10,33.687,
2012-01,33.360,
2012-04,33.272,
2012-07,32.775,
2012-10,32.476,
2013-01,31.856,
2013-04,31.718,
2013-07,31.609,
2013-10,31.592,
2014-01,31.002,
2014-04,30.961,
2014-07,31.095,
