"",BBK01.OEAD33Q,BBK01.OEAD33Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:25,
2002-01,0.089,
2002-04,0.094,
2002-07,0.097,
2002-10,0.096,
2003-01,0.088,
2003-04,0.081,
2003-07,0.080,
2003-10,0.075,
2004-01,0.072,
2004-04,0.071,
2004-07,0.069,
2004-10,0.113,
2005-01,0.116,
2005-04,0.111,
2005-07,0.110,
2005-10,0.116,
2006-01,0.111,
2006-04,0.119,
2006-07,0.118,
2006-10,0.116,
2007-01,0.120,
2007-04,0.107,
2007-07,0.129,
2007-10,0.125,
2008-01,0.090,
2008-04,0.087,
2008-07,0.085,
2008-10,0.086,
2009-01,0.073,
2009-04,0.075,
2009-07,0.073,
2009-10,0.073,
2010-01,0.061,
2010-04,0.059,
2010-07,0.064,
2010-10,0.063,
2011-01,0.064,
2011-04,0.060,
2011-07,0.060,
2011-10,0.058,
2012-01,0.063,
2012-04,0.062,
2012-07,0.063,
2012-10,0.067,
2013-01,0.067,
2013-04,0.067,
2013-07,0.065,
2013-10,0.063,
2014-01,0.059,
2014-04,0.052,
2014-07,0.055,
