"",BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.R5.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:41,
1991-01,40.116,
1991-04,15.431,
1991-07,13.600,
1991-10,98.675,
1992-01,145.849,
1992-04,-2.653,
1992-07,35.538,
1992-10,-17.944,
1993-01,-23.973,
1993-04,53.765,
1993-07,-106.334,
1993-10,45.501,
1994-01,-55.626,
1994-04,-48.058,
1994-07,-65.424,
1994-10,-1.629,
1995-01,16.614,
1995-04,-4.110,
1995-07,-34.708,
1995-10,94.717,
1996-01,-2.099,
1996-04,2.769,
1996-07,-8.791,
1996-10,-11.587,
1997-01,30.436,
1997-04,-9.861,
1997-07,-84.304,
1997-10,-36.792,
1998-01,31.079,
1998-04,-72.791,
1998-07,-72.090,
1998-10,-105.113,
1999-01,6.202,
1999-04,118.269,
1999-07,-21.623,
1999-10,27.484,
2000-01,54.659,
2000-04,8.975,
2000-07,17.954,
2000-10,-120.987,
2001-01,64.091,
2001-04,-97.154,
2001-07,-67.399,
2001-10,-62.756,
2002-01,-18.477,
2002-04,-152.638,
2002-07,-6.153,
2002-10,-56.732,
2003-01,-49.752,
2003-04,-182.929,
2003-07,-8.767,
2003-10,-58.318,
2004-01,5.074,
2004-04,-34.877,
2004-07,61.851,
2004-10,12.437,
2005-01,151.481,
2005-04,34.748,
2005-07,140.609,
2005-10,229.116,
2006-01,221.513,
2006-04,119.965,
2006-07,-18.887,
2006-10,135.169,
2007-01,286.431,
2007-04,-146.602,
2007-07,17.581,
2007-10,41.372,
2008-01,145.489,
2008-04,-63.458,
2008-07,70.170,
2008-10,-196.743,
2009-01,42.220,
2009-04,-88.136,
2009-07,49.856,
2009-10,30.980,
2010-01,-314.930,
2010-04,-95.348,
2010-07,115.749,
2010-10,145.990,
2011-01,55.212,
2011-04,110.832,
2011-07,57.774,
2011-10,-5.614,
2012-01,-61.750,
2012-04,17.624,
2012-07,211.151,
2012-10,914.811,
2013-01,52.575,
2013-04,82.472,
2013-07,124.264,
2013-10,-80.863,
2014-01,-158.658,Provisional value
2014-04,853.798,Provisional value
2014-07,-128.294,Provisional value
2014-10,-239.920,Provisional value
