"",BBFN1.M.DE.N.1.L.O1.S1P.F0.L.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.O1.S1P.F0.L.B000.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:24,
1995-01,0.001,
1995-02,0.001,
1995-03,0.000,
1995-04,0.000,
1995-05,0.000,
1995-06,0.000,
1995-07,0.000,
1995-08,0.000,
1995-09,0.000,
1995-10,0.009,
1995-11,0.015,
1995-12,0.015,
1996-01,0.015,
1996-02,0.015,
1996-03,0.015,
1996-04,0.015,
1996-05,0.015,
1996-06,0.015,
1996-07,0.015,
1996-08,0.015,
1996-09,0.015,
1996-10,0.015,
1996-11,0.015,
1996-12,0.015,
1997-01,0.025,
1997-02,0.025,
1997-03,0.025,
1997-04,0.024,
1997-05,0.025,
1997-06,0.025,
1997-07,0.024,
1997-08,0.024,
1997-09,0.024,
1997-10,0.022,
1997-11,0.022,
1997-12,0.022,
1998-01,0.022,
1998-02,0.022,
1998-03,0.022,
1998-04,0.029,
1998-05,0.028,
1998-06,0.028,
1998-07,0.028,
1998-08,0.028,
1998-09,0.027,
1998-10,0.026,
1998-11,0.026,
1998-12,0.025,
1999-01,0.027,
1999-02,0.027,
1999-03,0.026,
1999-04,0.025,
1999-05,0.025,
1999-06,0.025,
1999-07,0.025,
1999-08,0.025,
1999-09,0.025,
1999-10,0.024,
1999-11,0.024,
1999-12,0.015,
2000-01,0.014,
2000-02,0.015,
2000-03,0.015,
2000-04,0.014,
2000-05,0.013,
2000-06,0.013,
2000-07,0.013,
2000-08,0.013,
2000-09,0.013,
2000-10,0.012,
2000-11,0.011,
2000-12,0.011,
2001-01,0.011,
2001-02,0.011,
2001-03,0.011,
2001-04,0.010,
2001-05,0.010,
2001-06,0.009,
2001-07,0.009,
2001-08,0.009,
2001-09,0.009,
2001-10,0.008,
2001-11,0.008,
2001-12,0.008,
2002-01,0.008,
2002-02,0.008,
2002-03,0.008,
2002-04,0.007,
2002-05,0.007,
2002-06,0.007,
2002-07,0.007,
2002-08,0.007,
2002-09,0.007,
2002-10,0.005,
2002-11,0.005,
2002-12,0.005,
2003-01,0.005,
2003-02,0.005,
2003-03,0.005,
2003-04,0.004,
2003-05,0.004,
2003-06,0.004,
2003-07,0.004,
2003-08,0.004,
2003-09,0.021,
2003-10,0.019,
2003-11,0.019,
2003-12,0.019,
2004-01,0.017,
2004-02,0.017,
2004-03,0.019,
2004-04,0.018,
2004-05,0.018,
2004-06,0.018,
2004-07,0.018,
2004-08,0.018,
2004-09,0.001,
2004-10,0.011,
2004-11,0.011,
2004-12,0.011,
2005-01,0.011,
2005-02,0.011,
2005-03,0.011,
2005-04,0.011,
2005-05,0.011,
2005-06,0.011,
2005-07,0.011,
2005-08,0.011,
2005-09,0.066,
2005-10,0.066,
2005-11,0.066,
2005-12,0.309,
2006-01,0.066,
2006-02,0.109,
2006-03,0.109,
2006-04,0.109,
2006-05,0.109,
2006-06,0.109,
2006-07,0.109,
2006-08,0.109,
2006-09,0.109,
2006-10,0.109,
2006-11,0.108,
2006-12,0.108,
2007-01,0.108,
2007-02,0.108,
2007-03,0.108,
2007-04,0.108,
2007-05,0.108,
2007-06,0.108,
2007-07,0.108,
2007-08,0.107,
2007-09,0.107,
2007-10,0.107,
2007-11,0.107,
2007-12,0.107,
2008-01,0.107,
2008-02,0.106,
2008-03,0.106,
2008-04,0.106,
2008-05,0.106,
2008-06,0.106,
2008-07,0.106,
2008-08,0.159,
2008-09,0.159,
2008-10,0.159,
2008-11,0.159,
2008-12,0.159,
2009-01,0.159,
2009-02,0.158,
2009-03,0.158,
2009-04,0.158,
2009-05,0.158,
2009-06,0.158,
2009-07,0.158,
2009-08,0.157,
2009-09,0.157,
2009-10,0.157,
2009-11,0.157,
2009-12,0.182,
2010-01,0.208,
2010-02,0.198,
2010-03,0.172,
2010-04,0.172,
2010-05,0.174,
2010-06,0.174,
2010-07,0.174,
2010-08,0.173,
2010-09,0.173,
2010-10,0.172,
2010-11,0.172,
2010-12,0.172,
2011-01,0.172,
2011-02,0.171,
2011-03,0.174,
2011-04,0.174,
2011-05,0.173,
2011-06,0.173,
2011-07,0.176,
2011-08,0.177,
2011-09,0.183,
2011-10,0.197,
2011-11,0.199,
2011-12,0.231,
2012-01,0.227,
2012-02,0.235,
2012-03,0.451,
2012-04,0.214,
2012-05,0.206,
2012-06,0.200,
2012-07,0.204,
2012-08,0.202,
2012-09,0.205,
2012-10,0.275,
2012-11,0.278,
2012-12,0.203,
2013-01,0.205,
2013-02,0.206,
2013-03,0.212,
2013-04,0.189,
2013-05,0.236,
2013-06,0.244,
2013-07,0.237,
2013-08,0.190,
2013-09,0.209,
2013-10,0.209,
2013-11,0.201,
2013-12,0.200,
2014-01,0.200,
2014-02,0.199,
2014-03,0.155,
2014-04,0.154,
2014-05,0.153,
2014-06,0.153,
2014-07,0.156,
2014-08,0.154,
2014-09,0.151,
2014-10,0.151,
2014-11,0.150,
2014-12,0.210,
