"",BBSF2.M.1.P.00000.REN01.I.F.ATU.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.REN01.I.F.ATU.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Bonds funds / Number outstanding,
unit,STUECK (hypothetically euro-based),
unit multiplier,thousand,
last update,2014-12-29 10:36:27,
1966-01,340,
1966-02,529,
1966-03,614,
1966-04,660,
1966-05,710,
1966-06,723,
1966-07,748,
1966-08,759,
1966-09,773,
1966-10,788,
1966-11,821,
1966-12,920,
1967-01,955,
1967-02,990,
1967-03,1018,
1967-04,1074,
1967-05,1119,
1967-06,1194,
1967-07,1278,
1967-08,1327,
1967-09,1381,
1967-10,1472,
1967-11,1658,
1967-12,1886,
1968-01,2266,
1968-02,2525,
1968-03,2737,
1968-04,2971,
1968-05,3598,
1968-06,4092,
1968-07,4970,
1968-08,5935,
1968-09,6768,
1968-10,7649,
1968-11,8780,
1968-12,10891,
1969-01,15364,
1969-02,18616,
1969-03,22927,
1969-04,24907,
1969-05,26171,
1969-06,28033,
1969-07,31156,
1969-08,32514,
1969-09,33617,
1969-10,35684,
1969-11,36885,
1969-12,38630,
1970-01,40101,
1970-02,40886,
1970-03,41277,
1970-04,41728,
1970-05,41889,
1970-06,42238,
1970-07,42842,
1970-08,43173,
1970-09,43585,
1970-10,43687,
1970-11,44151,
1970-12,45332,
1971-01,46381,
1971-02,46749,
1971-03,47092,
1971-04,47341,
1971-05,47619,
1971-06,48343,
1971-07,48984,
1971-08,49539,
1971-09,49944,
1971-10,50392,
1971-11,51480,
1971-12,52832,
1972-01,54636,
1972-02,57141,
1972-03,59405,
1972-04,60911,
1972-05,62481,
1972-06,66864,
1972-07,70642,
1972-08,77065,
1972-09,80342,
1972-10,82576,
1972-11,85368,
1972-12,87672,
1973-01,90090,
1973-02,92539,
1973-03,94599,
1973-04,96782,
1973-05,96894,
1973-06,97750,
1973-07,98150,
1973-08,99797,
1973-09,100457,
1973-10,101754,
1973-11,103427,
1973-12,103809,
1974-01,103782,
1974-02,102649,
1974-03,100180,
1974-04,99385,
1974-05,98652,
1974-06,99000,
1974-07,96855,
1974-08,98676,
1974-09,98142,
1974-10,97822,
1974-11,98984,
1974-12,100996,
1975-01,102889,
1975-02,105080,
1975-03,105359,
1975-04,106926,
1975-05,108190,
1975-06,110713,
1975-07,107449,
1975-08,109775,
1975-09,109722,
1975-10,110205,
1975-11,113154,
1975-12,115868,
1976-01,119901,
1976-02,125426,
1976-03,132759,
1976-04,137456,
1976-05,140301,
1976-06,143535,
1976-07,145110,
1976-08,153475,
1976-09,159361,
1976-10,165206,
1976-11,181296,
1976-12,192211,
1977-01,207514,
1977-02,219482,
1977-03,235138,
1977-04,246720,
1977-05,254493,
1977-06,262218,
1977-07,271271,
1977-08,295909,
1977-09,306098,
1977-10,315503,
1977-11,333305,
1977-12,350396,
1978-01,376835,
1978-02,398320,
1978-03,417407,
1978-04,425938,
1978-05,428684,
1978-06,432221,
1978-07,428972,
1978-08,446163,
1978-09,454337,
1978-10,459938,
1978-11,469298,
1978-12,476658,
1979-01,483201,
1979-02,490138,
1979-03,492801,
1979-04,493968,
1979-05,493874,
1979-06,497840,
1979-07,501564,
1979-08,521444,
1979-09,524760,
1979-10,526743,
1979-11,532640,
1979-12,535995,
1980-01,535595,
1980-02,532883,
1980-03,523251,
1980-04,521671,
1980-05,521023,
1980-06,519823,
1980-07,517507,
1980-08,528487,
1980-09,526129,
1980-10,524866,
1980-11,524458,
1980-12,522536,
1981-01,520602,
1981-02,514773,
1981-03,509260,
1981-04,504108,
1981-05,496144,
1981-06,490491,
1981-07,483136,
1981-08,485203,
1981-09,481506,
1981-10,481314,
1981-11,486894,
1981-12,486169,
1982-01,485102,
1982-02,488946,
1982-03,489876,
1982-04,491558,
1982-05,491526,
1982-06,489886,
1982-07,487669,
1982-08,503957,
1982-09,508334,
1982-10,512231,
1982-11,521722,
1982-12,527813,
1983-01,525235,
1983-02,535985,
1983-03,544495,
1983-04,545693,
1983-05,544475,
1983-06,539840,
1983-07,537169,
1983-08,548658,
1983-09,550992,
1983-10,553847,
1983-11,561052,
1983-12,565129,
1984-01,569966,
1984-02,583760,
1984-03,590186,
1984-04,594104,
1984-05,595091,
1984-06,598438,
1984-07,599397,
1984-08,617495,
1984-09,625616,
1984-10,631776,
1984-11,658499,
1984-12,671961,
1985-01,686919,
1985-02,703790,
1985-03,711227,
1985-04,720670,
1985-05,732701,
1985-06,740415,
1985-07,749968,
1985-08,783068,
1985-09,792716,
1985-10,804008,
1985-11,836866,
1985-12,856652,
1986-01,883503,
1986-02,917538,
1986-03,941770,
1986-04,967813,
1986-05,981727,
1986-06,996432,
1986-07,1009370,
1986-08,1044969,
1986-09,1058494,
1986-10,1068037,
1986-11,1094801,
1986-12,1114213,
1987-01,1139349,
1987-02,1167987,
1987-03,1183026,
1987-04,1198794,
1987-05,1215919,
1987-06,1227556,
1987-07,1243525,
1987-08,1265904,
1987-09,1275611,
1987-10,1280259,
1987-11,1302674,
1987-12,1315449,
1988-01,1329426,
1988-02,1369808,
1988-03,1386168,
1988-04,1386583,
1988-05,1391509,
1988-06,1407855,
1988-07,1419732,
1988-08,1437195,
1988-09,1473266,
1988-10,1489620,
1988-11,1540336,
1988-12,1591006,
1989-01,1651139,
1989-02,1707393,
1989-03,1739357,
1989-04,1768477,
1989-05,1770607,
1989-06,1789249,
1989-07,1818291,
1989-08,1831627,
1989-09,1838679,
1989-10,1848378,
1989-11,1905134,
1989-12,1931493,
1990-01,1949107,
1990-02,1984402,
1990-03,1998315,
1990-04,1999612,
1990-05,1999471,
1990-06,1998617,
1990-07,1998670,
1990-08,2003804,
1990-09,2005118,
1990-10,2002573,
1990-11,2030395,
1990-12,2037799,
1991-01,2033010,
1991-02,2060410,
1991-03,2076655,
1991-04,2100863,
1991-05,2117275,
