"",BBK01.OEXB24S,BBK01.OEXB24S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:09,
2002-01,0.673,
2002-04,0.671,
2002-07,0.685,
2002-10,0.691,
2003-01,0.692,
2003-04,0.690,
2003-07,0.689,
2003-10,0.707,
2004-01,0.704,
2004-04,0.702,
2004-07,0.721,
2004-10,0.746,
2005-01,0.740,
2005-04,0.750,
2005-07,0.749,
2005-10,0.751,
2006-01,0.745,
2006-04,0.743,
2006-07,0.740,
2006-10,0.731,
2007-01,0.721,
2007-04,0.726,
2007-07,0.710,
2007-10,0.669,
2008-01,0.648,
2008-04,0.631,
2008-07,0.619,
2008-10,0.601,
2009-01,0.587,
2009-04,0.589,
2009-07,0.605,
2009-10,0.612,
2010-01,0.607,
2010-04,0.603,
2010-07,0.609,
2010-10,0.615,
2011-01,0.618,
2011-04,0.638,
2011-07,0.639,
2011-10,0.643,
2012-01,0.643,
2012-04,0.638,
2012-07,0.656,
2012-10,0.655,
2013-01,0.660,
2013-04,0.644,
2013-07,0.638,
2013-10,0.628,
2014-01,0.601,
2014-04,0.600,
2014-07,0.585,
