"",BBK01.OEBK06L,BBK01.OEBK06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:24,
2002-01,0.019,
2002-04,0.015,
2002-07,0.017,
2002-10,0.029,
2003-01,0.033,
2003-04,0.031,
2003-07,0.031,
2003-10,0.024,
2004-01,0.044,
2004-04,0.049,
2004-07,0.050,
2004-10,0.049,
2005-01,0.045,
2005-04,0.045,
2005-07,0.046,
2005-10,0.049,
2006-01,0.051,
2006-04,0.051,
2006-07,0.066,
2006-10,0.071,
2007-01,0.079,
2007-04,0.081,
2007-07,0.073,
2007-10,0.070,
2008-01,0.070,
2008-04,0.074,
2008-07,0.093,
2008-10,0.100,
2009-01,0.097,
2009-04,0.098,
2009-07,0.103,
2009-10,0.100,
2010-01,0.098,
2010-04,0.112,
2010-07,0.106,
2010-10,0.115,
2011-01,0.121,
2011-04,0.137,
2011-07,0.114,
2011-10,0.123,
2012-01,0.119,
2012-04,0.117,
2012-07,0.117,
2012-10,0.125,
2013-01,0.119,
2013-04,0.112,
2013-07,0.113,
2013-10,0.117,
2014-01,0.129,
2014-04,0.128,
2014-07,0.149,
