"",BBK01.OEXL09S,BBK01.OEXL09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:44,
2002-01,0.358,
2002-04,0.343,
2002-07,0.352,
2002-10,0.333,
2003-01,0.293,
2003-04,0.261,
2003-07,0.245,
2003-10,0.240,
2004-01,0.220,
2004-04,0.203,
2004-07,0.191,
2004-10,0.185,
2005-01,0.197,
2005-04,0.187,
2005-07,0.157,
2005-10,0.155,
2006-01,0.161,
2006-04,0.174,
2006-07,0.184,
2006-10,0.203,
2007-01,0.302,
2007-04,0.340,
2007-07,0.376,
2007-10,0.438,
2008-01,0.474,
2008-04,0.495,
2008-07,0.519,
2008-10,0.632,
2009-01,0.589,
2009-04,0.562,
2009-07,0.541,
2009-10,0.440,
2010-01,0.363,
2010-04,0.349,
2010-07,0.340,
2010-10,0.408,
2011-01,0.474,
2011-04,0.493,
2011-07,0.500,
2011-10,0.482,
2012-01,0.448,
2012-04,0.440,
2012-07,0.414,
2012-10,0.359,
2013-01,0.306,
2013-04,0.269,
2013-07,0.254,
2013-10,0.240,
2014-01,0.227,
2014-04,0.213,
2014-07,0.266,
