"",BBK01.OELJ01S,BBK01.OELJ01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:20,
2002-01,0.447,
2002-04,0.408,
2002-07,0.426,
2002-10,0.475,
2003-01,0.450,
2003-04,0.444,
2003-07,0.442,
2003-10,0.509,
2004-01,0.466,
2004-04,0.462,
2004-07,0.474,
2004-10,0.506,
2005-01,0.474,
2005-04,0.457,
2005-07,0.453,
2005-10,0.546,
2006-01,0.443,
2006-04,0.424,
2006-07,0.434,
2006-10,0.608,
2007-01,0.486,
2007-04,0.445,
2007-07,0.440,
2007-10,0.539,
2008-01,0.490,
2008-04,0.456,
2008-07,0.627,
2008-10,0.723,
2009-01,0.706,
2009-04,0.620,
2009-07,0.679,
2009-10,0.825,
2010-01,0.799,
2010-04,0.763,
2010-07,0.803,
2010-10,0.915,
2011-01,0.915,
2011-04,0.884,
2011-07,0.928,
2011-10,1.308,
2012-01,1.122,
2012-04,1.087,
2012-07,1.161,
2012-10,1.215,
2013-01,1.164,
2013-04,1.149,
2013-07,1.201,
2013-10,1.320,
2014-01,1.333,
2014-04,1.318,
2014-07,1.366,
