"",BBK01.OELI08T,BBK01.OELI08T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:14,
2002-01,1.431,
2002-04,1.403,
2002-07,1.403,
2002-10,1.475,
2003-01,1.501,
2003-04,1.477,
2003-07,1.493,
2003-10,1.533,
2004-01,1.547,
2004-04,1.529,
2004-07,1.504,
2004-10,1.556,
2005-01,1.557,
2005-04,1.558,
2005-07,1.571,
2005-10,1.617,
2006-01,1.628,
2006-04,1.613,
2006-07,1.614,
2006-10,1.600,
2007-01,1.568,
2007-04,1.573,
2007-07,1.573,
2007-10,1.597,
2008-01,1.600,
2008-04,1.573,
2008-07,1.552,
2008-10,1.590,
2009-01,1.597,
2009-04,1.564,
2009-07,1.551,
2009-10,1.583,
2010-01,1.544,
2010-04,1.511,
2010-07,1.499,
2010-10,1.522,
2011-01,1.536,
2011-04,1.524,
2011-07,1.502,
2011-10,1.544,
2012-01,1.525,
2012-04,1.531,
2012-07,1.547,
2012-10,1.571,
2013-01,1.571,
2013-04,1.576,
2013-07,1.579,
2013-10,1.603,
2014-01,1.615,
2014-04,1.603,
2014-07,1.542,
