"",BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:35,
1991-01,-0.277,
1991-04,0.024,
1991-07,-0.069,
1991-10,-0.222,
1992-01,-0.202,
1992-04,-0.010,
1992-07,-0.105,
1992-10,-0.149,
1993-01,0.377,
1993-04,-0.283,
1993-07,-0.189,
1993-10,0.162,
1994-01,-0.117,
1994-04,-0.166,
1994-07,-0.266,
1994-10,-0.292,
1995-01,-0.185,
1995-04,-0.109,
1995-07,-0.085,
1995-10,-0.080,
1996-01,-0.189,
1996-04,-0.108,
1996-07,-0.226,
1996-10,-0.075,
1997-01,-0.151,
1997-04,-0.231,
1997-07,-0.361,
1997-10,-0.101,
1998-01,-1.473,
1998-04,-0.362,
1998-07,-0.238,
1998-10,-0.182,
1999-01,-0.535,
1999-04,-0.116,
1999-07,-0.015,
1999-10,-0.527,
2000-01,-0.225,
2000-04,-0.146,
2000-07,-1.477,
2000-10,-0.161,
2001-01,-0.142,
2001-04,-0.117,
2001-07,-0.031,
2001-10,-0.231,
2002-01,-0.425,
2002-04,-,Nothing exists
2002-07,-0.260,
2002-10,-0.034,
2003-01,0.884,
2003-04,-0.202,
2003-07,-0.038,
2003-10,-0.190,
2004-01,0.389,
2004-04,-0.021,
2004-07,-0.255,
2004-10,-0.074,
2005-01,-0.203,
2005-04,29.185,
2005-07,-0.464,
2005-10,-0.753,
2006-01,-0.256,
2006-04,-0.188,
2006-07,-0.128,
2006-10,-0.063,
2007-01,-0.154,
2007-04,-0.435,
2007-07,-0.042,
2007-10,19.683,
2008-01,0.010,
2008-04,-0.048,
2008-07,-0.278,
2008-10,-0.083,
2009-01,0.030,
2009-04,0.150,
2009-07,0.250,
2009-10,3.854,
2010-01,0.202,
2010-04,-0.978,
2010-07,0.125,
2010-10,0.099,
2011-01,-0.016,
2011-04,-4.137,
2011-07,-,Nothing exists
2011-10,0.145,
2012-01,-0.275,
2012-04,0.148,
2012-07,0.073,
2012-10,0.200,
2013-01,-6.030,
2013-04,18.000,
2013-07,-9.033,
2013-10,48.987,
2014-01,-71.987,Provisional value
2014-04,10.000,Provisional value
2014-07,63.012,Provisional value
2014-10,13.000,Provisional value
