"",BBK01.CEH00X,BBK01.CEH00X_FLAGS
"",Acquisition of financial assets debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:02,
1991-01,10.3,
1991-04,4.5,
1991-07,0.2,
1991-10,4.3,
1992-01,11.6,
1992-04,1.4,
1992-07,-1.0,
1992-10,-1.4,
1993-01,14.7,
1993-04,1.9,
1993-07,6.2,
1993-10,14.1,
1994-01,20.4,
1994-04,10.4,
1994-07,7.3,
1994-10,3.2,
1995-01,10.9,
1995-04,1.6,
1995-07,5.8,
1995-10,7.2,
1996-01,26.9,
1996-04,11.0,
1996-07,6.8,
1996-10,15.7,
1997-01,39.0,
1997-04,18.5,
1997-07,6.4,
1997-10,14.7,
1998-01,47.0,
1998-04,24.6,
1998-07,10.0,
1998-10,18.3,
1999-01,12.2,
1999-04,46.6,
1999-07,-1.4,
1999-10,35.5,
2000-01,52.9,
2000-04,37.4,
2000-07,-1.0,
2000-10,19.6,
2001-01,67.8,
2001-04,1.8,
2001-07,-7.2,
2001-10,21.5,
2002-01,20.4,
2002-04,4.0,
2002-07,22.7,
2002-10,-2.5,
2003-01,37.5,
2003-04,27.5,
2003-07,10.4,
2003-10,-13.3,
2004-01,28.6,
2004-04,-3.7,
2004-07,-4.0,
2004-10,-12.1,
2005-01,45.6,
2005-04,4.4,
2005-07,38.5,
2005-10,-8.8,
2006-01,71.6,
2006-04,38.1,
2006-07,27.8,
2006-10,-26.2,
2007-01,60.2,
2007-04,24.8,
2007-07,-28.1,
2007-10,9.3,
2008-01,70.3,
2008-04,15.7,
2008-07,34.2,
2008-10,6.6,
2009-01,75.2,
2009-04,10.9,
2009-07,4.3,
2009-10,43.5,
2010-01,13.6,
2010-04,100.9,
2010-07,16.5,
2010-10,1.2,
2011-01,20.3,
2011-04,48.6,
2011-07,64.0,
2011-10,-69.9,
2012-01,38.0,
2012-04,50.3,
2012-07,22.2,
2012-10,-30.5,
2013-01,74.6,
2013-04,75.8,
2013-07,-45.8,
2013-10,11.2,
2014-01,68.3,
