"",BBFB1.M.N.DE.W1.S1W.S1.T.LD.FA.P.F3.L._T.M.N,BBFB1.M.N.DE.W1.S1W.S1.T.LD.FA.P.F3.L._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Long-term debt-securities / Private issuers / Sales / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:51:15,
1991-01,452.413,
1991-02,705.310,
1991-03,739.396,
1991-04,952.337,
1991-05,963.937,
1991-06,582.758,
1991-07,678.824,
1991-08,833.006,
1991-09,696.134,
1991-10,985.751,
1991-11,844.138,
1991-12,1504.554,
1992-01,1609.364,
1992-02,677.618,
1992-03,1002.437,
1992-04,1153.831,
1992-05,576.043,
1992-06,776.522,
1992-07,1794.786,
1992-08,1972.677,
1992-09,2660.120,
1992-10,2061.128,
1992-11,1709.275,
1992-12,2345.694,
1993-01,3854.911,
1993-02,2824.999,
1993-03,3163.790,
1993-04,3489.481,
1993-05,3422.785,
1993-06,3328.619,
1993-07,3873.683,
1993-08,5268.800,
1993-09,3386.506,
1993-10,6025.564,
1993-11,6704.519,
1993-12,9343.851,
1994-01,5268.211,
1994-02,6963.716,
1994-03,6791.547,
1994-04,5192.769,
1994-05,5581.737,
1994-06,4009.307,
1994-07,3222.689,
1994-08,3192.239,
1994-09,4335.576,
1994-10,3593.325,
1994-11,4129.347,
1994-12,4326.331,
1995-01,5514.058,
1995-02,4423.840,
1995-03,4789.406,
1995-04,4017.398,
1995-05,4784.249,
1995-06,5939.780,
1995-07,3866.466,
1995-08,5531.307,
1995-09,8410.739,
1995-10,6923.203,
1995-11,7571.874,
1995-12,6734.847,
1996-01,11840.020,
1996-02,9028.879,
1996-03,8498.001,
1996-04,9150.881,
1996-05,7100.932,
1996-06,6203.615,
1996-07,7700.323,
1996-08,6258.178,
1996-09,8838.866,
1996-10,9782.490,
1996-11,9725.166,
1996-12,7632.263,
1997-01,10295.508,
1997-02,10910.728,
1997-03,7572.553,
1997-04,10470.832,
1997-05,6738.361,
1997-06,9186.742,
1997-07,9497.165,
1997-08,6873.695,
1997-09,8739.833,
1997-10,9679.315,
1997-11,7639.113,
1997-12,10368.373,
1998-01,14020.779,
1998-02,11806.221,
1998-03,13044.128,
1998-04,15178.666,
1998-05,10199.538,
1998-06,12691.320,
1998-07,13720.086,
1998-08,15494.125,
1998-09,20984.173,
1998-10,20721.030,
1998-11,14678.009,
1998-12,18683.750,
1999-01,17030.368,
1999-02,20338.677,
1999-03,20978.374,
1999-04,19254.945,
1999-05,21164.596,
1999-06,20917.873,
1999-07,19452.337,
1999-08,15130.705,
1999-09,19656.853,
1999-10,21210.779,
1999-11,19575.921,
1999-12,17234.683,
2000-01,20249.912,
2000-02,20372.475,
2000-03,20056.449,
2000-04,17857.654,
2000-05,25365.081,
2000-06,29560.913,
2000-07,25556.595,
2000-08,23912.478,
2000-09,32908.745,
2000-10,34083.037,
2000-11,26966.140,
2000-12,31672.050,
2001-01,46451.069,
2001-02,39696.006,
2001-03,49208.624,
2001-04,46505.179,
2001-05,39431.159,
2001-06,46501.324,
2001-07,57044.752,
2001-08,40130.900,
2001-09,44491.346,
2001-10,50660.076,
2001-11,48916.040,
2001-12,36478.831,
2002-01,46717.462,
2002-02,44860.568,
2002-03,44210.312,
2002-04,38849.392,
2002-05,35295.727,
2002-06,33460.081,
2002-07,40466.736,
2002-08,37825.319,
2002-09,40376.592,
2002-10,47619.550,
2002-11,44634.120,
2002-12,43198.598,
2003-01,57803.182,
2003-02,45142.665,
2003-03,50338.942,
2003-04,39295.537,
2003-05,38989.210,
2003-06,43840.030,
2003-07,51403.822,
2003-08,49711.958,
2003-09,49920.380,
2003-10,58752.353,
2003-11,58691.957,
2003-12,35668.068,
2004-01,50984.131,
2004-02,47161.948,
2004-03,52023.916,
2004-04,35211.877,
2004-05,34495.544,
2004-06,48282.487,
2004-07,48702.142,
2004-08,26685.457,
2004-09,43560.660,
2004-10,34568.883,
2004-11,42751.726,
2004-12,38174.774,
2005-01,56139.379,
2005-02,46242.503,
2005-03,42830.761,
2005-04,37125.320,
2005-05,33149.685,
2005-06,51494.286,
2005-07,42282.668,
2005-08,34905.339,
2005-09,32946.387,
2005-10,37817.044,
2005-11,39627.971,
2005-12,39444.281,
2006-01,43445.312,
2006-02,37020.754,
2006-03,38949.652,
2006-04,39872.440,
2006-05,32986.641,
2006-06,36206.395,
2006-07,29169.460,
2006-08,32581.353,
2006-09,42975.350,
2006-10,37734.545,
2006-11,39173.172,
2006-12,37453.087,
2007-01,42364.067,
2007-02,44651.232,
2007-03,45659.303,
2007-04,32173.562,
2007-05,33441.108,
2007-06,39562.277,
2007-07,42175.242,
2007-08,42571.052,
