"",BBK01.OELI07Q,BBK01.OELI07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:07,
2002-01,4.413,
2002-04,4.361,
2002-07,4.479,
2002-10,4.537,
2003-01,4.464,
2003-04,4.480,
2003-07,4.604,
2003-10,4.655,
2004-01,4.628,
2004-04,4.603,
2004-07,4.576,
2004-10,4.434,
2005-01,4.428,
2005-04,4.380,
2005-07,4.236,
2005-10,4.017,
2006-01,3.987,
2006-04,3.956,
2006-07,3.885,
2006-10,3.819,
2007-01,3.685,
2007-04,3.591,
2007-07,3.338,
2007-10,3.254,
2008-01,3.158,
2008-04,3.048,
2008-07,2.933,
2008-10,2.978,
2009-01,3.146,
2009-04,3.301,
2009-07,3.473,
2009-10,3.730,
2010-01,3.966,
2010-04,4.167,
2010-07,4.239,
2010-10,4.304,
2011-01,4.260,
2011-04,4.203,
2011-07,4.156,
2011-10,4.188,
2012-01,4.203,
2012-04,4.207,
2012-07,4.279,
2012-10,4.374,
2013-01,4.437,
2013-04,4.480,
2013-07,4.479,
2013-10,4.526,
2014-01,4.528,
2014-04,4.568,
2014-07,4.581,
