"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.SE.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.SE.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Sweden / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:43,
2009-09,5432,
2009-10,5528,
2009-11,5460,
2009-12,5444,
2010-01,5305,
2010-02,5719,
2010-03,6158,
2010-04,6311,
2010-05,6203,
2010-06,6391,
2010-07,6388,
2010-08,6694,
2010-09,6586,
2010-10,6596,
2010-11,6523,
2010-12,6511,
2011-01,6450,
2011-02,6636,
2011-03,6589,
2011-04,6606,
2011-05,6878,
2011-06,6937,
2011-07,7085,
2011-08,6925,
2011-09,6893,
2011-10,6740,
2011-11,6658,
2011-12,7179,
2012-01,7554,
2012-02,7483,
2012-03,7715,
2012-04,7749,
2012-05,7841,
2012-06,8083,
2012-07,8445,
2012-08,8414,
2012-09,8246,
2012-10,7919,
2012-11,7929,
2012-12,7860,
2013-01,7445,
2013-02,7496,
2013-03,7688,
2013-04,7921,
2013-05,7875,
2013-06,7544,
2013-07,7332,
2013-08,7400,
2013-09,7272,
2013-10,7282,
2013-11,7186,
2013-12,7061,
2014-01,6994,
2014-02,7093,
2014-03,7014,
2014-04,6857,
2014-05,6843,
2014-06,6537,
2014-07,6459,
2014-08,6408,
2014-09,6261,
2014-10,6254,
2014-11,6290,
