"",BBEE1.M.I8.AAA.XZE012.A.AABAN.M00,BBEE1.M.I8.AAA.XZE012.A.AABAN.M00_FLAGS
"",Nominal effective exchange rate of the euro against the currencies of the EER-19 group,
unit,1Q99=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 15:35:19,
1993-01,96.7642,
1993-02,96.1492,
1993-03,95.1522,
1993-04,96.0461,
1993-05,95.8354,
1993-06,94.4572,
1993-07,91.9168,
1993-08,91.6675,
1993-09,94.7301,
1993-10,94.5156,
1993-11,92.7639,
1993-12,92.6849,
1994-01,93.8152,
1994-02,93.8701,
1994-03,95.4061,
1994-04,95.5622,
1994-05,96.8847,
1994-06,97.6097,
1994-07,99.4997,
1994-08,99.7666,
1994-09,99.9605,
1994-10,100.7930,
1994-11,99.8695,
1994-12,98.9149,
1995-01,100.3301,
1995-02,101.2366,
1995-03,102.8734,
1995-04,103.1352,
1995-05,102.6732,
1995-06,103.1854,
1995-07,104.6376,
1995-08,103.8142,
1995-09,103.5796,
1995-10,104.9826,
1995-11,105.5124,
1995-12,104.9347,
1996-01,104.9620,
1996-02,104.8669,
1996-03,104.5968,
1996-04,103.8890,
1996-05,103.0677,
1996-06,103.5447,
1996-07,104.7614,
1996-08,105.5623,
1996-09,104.8327,
1996-10,104.0427,
1996-11,104.1772,
1996-12,103.1193,
1997-01,101.7438,
1997-02,100.1731,
1997-03,99.4988,
1997-04,99.0677,
1997-05,98.6410,
1997-06,97.2716,
1997-07,94.5951,
1997-08,94.0040,
1997-09,96.3750,
1997-10,97.2907,
1997-11,98.5964,
1997-12,98.8601,
1998-01,98.1850,
1998-02,97.4978,
1998-03,96.5456,
1998-04,97.0501,
1998-05,99.4892,
1998-06,99.4371,
1998-07,99.0507,
1998-08,100.3780,
1998-09,103.1032,
1998-10,104.5084,
1998-11,102.6381,
1998-12,102.7699,
1999-01,101.7075,
1999-02,100.0306,
1999-03,98.6384,
1999-04,97.4445,
1999-05,96.9941,
1999-06,95.1380,
1999-07,95.1312,
1999-08,95.9484,
1999-09,94.5090,
1999-10,95.5853,
1999-11,93.2966,
1999-12,91.4610,
2000-01,91.4373,
2000-02,90.3177,
2000-03,88.8744,
2000-04,87.5224,
2000-05,85.9988,
2000-06,88.8570,
2000-07,88.2847,
2000-08,85.9831,
2000-09,84.3163,
2000-10,83.1956,
2000-11,83.7614,
2000-12,86.5805,
2001-01,89.9759,
2001-02,89.0506,
2001-03,88.8707,
2001-04,87.9221,
2001-05,86.2953,
2001-06,84.8771,
2001-07,85.6728,
2001-08,88.2420,
2001-09,88.7284,
2001-10,88.5053,
2001-11,87.2022,
2001-12,87.6695,
2002-01,87.3764,
2002-02,86.6030,
2002-03,86.7097,
2002-04,86.9782,
2002-05,88.6309,
2002-06,90.7214,
2002-07,92.1422,
2002-08,91.6262,
2002-09,91.6278,
2002-10,91.9415,
2002-11,92.7313,
2002-12,93.7543,
2003-01,96.0976,
2003-02,97.4200,
2003-03,98.2557,
2003-04,98.7736,
2003-05,102.4654,
2003-06,102.9573,
2003-07,101.7753,
2003-08,100.6407,
2003-09,100.5342,
2003-10,102.2108,
2003-11,102.2222,
2003-12,105.0812,
2004-01,106.2982,
2004-02,106.2302,
2004-03,104.3269,
2004-04,102.6274,
2004-05,103.2317,
2004-06,103.1226,
2004-07,103.5482,
2004-08,103.3180,
2004-09,103.6067,
2004-10,104.6970,
2004-11,105.9982,
2004-12,107.2236,
2005-01,106.0063,
2005-02,105.1670,
2005-03,105.8943,
2005-04,105.1111,
2005-05,104.1182,
2005-06,101.4270,
2005-07,101.8018,
2005-08,102.1453,
2005-09,101.5935,
2005-10,101.2470,
2005-11,100.5224,
2005-12,100.4850,
2006-01,101.1357,
2006-02,100.3584,
2006-03,101.1649,
2006-04,102.2168,
2006-05,103.2918,
2006-06,103.4991,
2006-07,103.7826,
2006-08,103.8502,
2006-09,103.6598,
2006-10,103.0327,
2006-11,103.5590,
2006-12,104.5616,
2007-01,103.9291,
2007-02,104.3900,
2007-03,105.0584,
2007-04,105.9498,
2007-05,105.9260,
2007-06,105.5197,
2007-07,106.0697,
2007-08,105.7504,
2007-09,106.7035,
2007-10,107.7188,
2007-11,109.1450,
2007-12,109.0565,
2008-01,109.4842,
2008-02,109.1056,
2008-03,111.7166,
2008-04,112.6650,
2008-05,112.0299,
2008-06,111.6795,
2008-07,111.6819,
2008-08,109.4757,
2008-09,107.8265,
2008-10,104.5628,
2008-11,103.6779,
2008-12,108.8168,
2009-01,108.6902,
2009-02,107.8366,
2009-03,110.0520,
2009-04,109.1920,
2009-05,109.8296,
2009-06,111.0883,
2009-07,110.6825,
2009-08,110.6369,
2009-09,111.8509,
2009-10,113.1340,
2009-11,112.9985,
2009-12,111.9148,
2010-01,109.7599,
2010-02,107.0099,
2010-03,106.2385,
2010-04,105.0067,
2010-05,101.8535,
2010-06,99.8245,
2010-07,101.6126,
2010-08,101.2612,
2010-09,101.5802,
2010-10,105.0043,
2010-11,103.7814,
2010-12,101.7124,
2011-01,101.4483,
2011-02,102.4932,
2011-03,104.1935,
2011-04,105.9014,
2011-05,104.9087,
2011-06,105.0179,
2011-07,104.0940,
2011-08,103.9191,
2011-09,102.8348,
2011-10,103.0494,
2011-11,102.6499,
2011-12,100.8706,
2012-01,99.0313,
2012-02,99.7332,
2012-03,99.9280,
2012-04,99.5397,
2012-05,98.1343,
2012-06,97.2687,
2012-07,95.4299,
2012-08,95.2694,
2012-09,97.2616,
2012-10,97.8444,
2012-11,97.2968,
2012-12,98.7425,
2013-01,100.4463,
2013-02,101.7040,
2013-03,100.2815,
2013-04,100.5239,
2013-05,100.6152,
2013-06,101.6372,
2013-07,101.5931,
2013-08,102.2688,
2013-09,102.0512,
2013-10,102.9223,
2013-11,102.7184,
2013-12,103.9319,
2014-01,103.4945,
2014-02,103.6311,
2014-03,104.7303,
2014-04,104.6024,
2014-05,103.9147,
2014-06,103.0728,
2014-07,102.6614,
2014-08,101.9902,
2014-09,100.4513,
2014-10,99.6388,
2014-11,99.6143,
2014-12,99.6685,
2015-01,95.9299,
"",Source: European Central Bank: EXR.M.E5.EUR.EN00.A,
"","Methodology: Based on the weighted averages of the euro or, prior to 1999, of the exchange rates of the currencies preceding the euro against the currencies of the following countries: Australia, Bulgaria, Canada, China, Croatia, Czech Republic, Denmark, Hong Kong, Hungary, Japan, Norway, Poland, Romania, Singapore, South Korea, Sweden, Switzerland, the UnitedKingdom and the United States.                       The weights used in these calculations are based on manufactured goodstrade and capture third-market effects.                            For details of the methodology see ECB, Monthly Bulletin, March 2012 as well as the ECB's Occasional Paper No.134, which can be downloaded from the ECB's website (www.ecb.int).",
