"",BBK01.OEBL02P,BBK01.OEBL02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:09,
2002-01,0.323,
2002-04,0.346,
2002-07,0.339,
2002-10,0.334,
2003-01,0.329,
2003-04,0.332,
2003-07,0.336,
2003-10,0.360,
2004-01,0.378,
2004-04,0.401,
2004-07,0.389,
2004-10,0.422,
2005-01,0.534,
2005-04,0.545,
2005-07,0.559,
2005-10,0.584,
2006-01,0.584,
2006-04,0.581,
2006-07,0.538,
2006-10,0.543,
2007-01,0.533,
2007-04,0.573,
2007-07,0.603,
2007-10,0.583,
2008-01,0.569,
2008-04,0.568,
2008-07,0.621,
2008-10,0.635,
2009-01,0.688,
2009-04,0.733,
2009-07,0.847,
2009-10,0.864,
2010-01,0.843,
2010-04,0.855,
2010-07,0.869,
2010-10,0.871,
2011-01,0.821,
2011-04,0.823,
2011-07,0.855,
2011-10,0.853,
2012-01,0.856,
2012-04,0.867,
2012-07,0.873,
2012-10,0.900,
2013-01,0.916,
2013-04,0.949,
2013-07,0.954,
2013-10,0.974,
2014-01,0.992,
2014-04,0.982,
2014-07,0.981,
