"",BBFN1.M.DE.N.1.L.O1.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.O1.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:21,
1995-01,0.465,
1995-02,0.477,
1995-03,0.520,
1995-04,0.486,
1995-05,0.476,
1995-06,0.477,
1995-07,0.471,
1995-08,0.483,
1995-09,0.496,
1995-10,0.507,
1995-11,0.468,
1995-12,0.489,
1996-01,0.469,
1996-02,0.478,
1996-03,0.497,
1996-04,0.536,
1996-05,0.574,
1996-06,0.536,
1996-07,0.548,
1996-08,0.545,
1996-09,0.577,
1996-10,0.549,
1996-11,0.575,
1996-12,0.568,
1997-01,0.553,
1997-02,0.470,
1997-03,0.472,
1997-04,0.490,
1997-05,0.499,
1997-06,0.455,
1997-07,0.435,
1997-08,0.402,
1997-09,0.404,
1997-10,0.400,
1997-11,0.429,
1997-12,0.395,
1998-01,0.414,
1998-02,0.429,
1998-03,0.394,
1998-04,0.406,
1998-05,0.419,
1998-06,0.426,
1998-07,0.354,
1998-08,0.304,
1998-09,0.293,
1998-10,0.308,
1998-11,0.286,
1998-12,0.289,
1999-01,0.278,
1999-02,0.307,
1999-03,0.256,
1999-04,0.268,
1999-05,0.280,
1999-06,0.291,
1999-07,0.308,
1999-08,0.299,
1999-09,0.314,
1999-10,0.258,
1999-11,0.298,
1999-12,0.257,
2000-01,0.252,
2000-02,0.310,
2000-03,0.306,
2000-04,0.312,
2000-05,0.305,
2000-06,0.272,
2000-07,0.283,
2000-08,0.283,
2000-09,0.241,
2000-10,0.260,
2000-11,0.262,
2000-12,0.350,
2001-01,0.247,
2001-02,0.232,
2001-03,0.228,
2001-04,0.291,
2001-05,0.222,
2001-06,0.304,
2001-07,0.198,
2001-08,0.214,
2001-09,0.266,
2001-10,0.191,
2001-11,0.185,
2001-12,0.230,
2002-01,0.274,
2002-02,0.472,
2002-03,0.505,
2002-04,0.482,
2002-05,0.479,
2002-06,0.540,
2002-07,0.524,
2002-08,0.534,
2002-09,1.111,
2002-10,1.071,
2002-11,1.141,
2002-12,1.074,
2003-01,1.098,
2003-02,1.099,
2003-03,1.404,
2003-04,1.408,
2003-05,1.386,
2003-06,1.522,
2003-07,1.496,
2003-08,1.481,
2003-09,1.702,
2003-10,1.671,
2003-11,1.719,
2003-12,1.720,
2004-01,1.951,
2004-02,1.944,
2004-03,2.276,
2004-04,2.269,
2004-05,2.299,
2004-06,2.821,
2004-07,2.822,
2004-08,2.708,
2004-09,2.755,
2004-10,2.821,
2004-11,2.830,
2004-12,2.782,
2005-01,0.579,
2005-02,0.579,
2005-03,0.416,
2005-04,0.414,
2005-05,0.425,
2005-06,0.442,
2005-07,0.455,
2005-08,0.506,
2005-09,0.521,
2005-10,0.549,
2005-11,0.540,
2005-12,0.794,
2006-01,0.544,
2006-02,0.597,
2006-03,0.591,
2006-04,0.565,
2006-05,0.638,
2006-06,0.659,
2006-07,0.652,
2006-08,0.659,
2006-09,0.669,
2006-10,0.657,
2006-11,0.699,
2006-12,0.699,
2007-01,0.677,
2007-02,0.718,
2007-03,0.907,
2007-04,0.729,
2007-05,0.821,
2007-06,0.743,
2007-07,0.772,
2007-08,0.789,
2007-09,0.884,
2007-10,0.830,
2007-11,0.851,
2007-12,0.790,
2008-01,0.757,
2008-02,0.722,
2008-03,0.679,
2008-04,0.777,
2008-05,0.792,
2008-06,0.826,
2008-07,0.868,
2008-08,0.906,
2008-09,0.958,
2008-10,0.968,
2008-11,1.106,
2008-12,1.207,
2009-01,1.033,
2009-02,1.130,
2009-03,1.540,
2009-04,1.232,
2009-05,1.346,
2009-06,1.289,
2009-07,1.306,
2009-08,1.353,
2009-09,1.214,
2009-10,1.297,
2009-11,1.242,
2009-12,1.229,
2010-01,1.289,
2010-02,1.329,
2010-03,1.292,
2010-04,1.099,
2010-05,1.234,
2010-06,1.361,
2010-07,1.416,
2010-08,1.464,
2010-09,1.565,
2010-10,1.519,
2010-11,1.692,
2010-12,1.679,
2011-01,1.424,
2011-02,1.410,
2011-03,1.241,
2011-04,1.272,
2011-05,1.353,
2011-06,1.799,
2011-07,1.551,
2011-08,1.626,
2011-09,1.748,
2011-10,1.718,
2011-11,1.643,
2011-12,1.729,
2012-01,1.671,
2012-02,1.814,
2012-03,1.842,
2012-04,1.640,
2012-05,1.625,
2012-06,1.809,
2012-07,1.820,
2012-08,1.821,
2012-09,1.806,
2012-10,1.909,
2012-11,1.862,
2012-12,1.960,
2013-01,1.939,
2013-02,2.080,
2013-03,1.925,
2013-04,1.849,
2013-05,1.744,
2013-06,1.872,
2013-07,1.822,
2013-08,1.640,
2013-09,1.899,
2013-10,1.678,
2013-11,1.533,
2013-12,1.557,
2014-01,1.345,
2014-02,1.524,
2014-03,1.545,
2014-04,1.485,
2014-05,1.495,
2014-06,1.629,
2014-07,1.743,
2014-08,1.739,
2014-09,1.769,
2014-10,1.746,
2014-11,1.672,
2014-12,1.759,
