"",BBK01.OEHI07J,BBK01.OEHI07J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:03,
2002-01,3.727,
2002-04,3.714,
2002-07,3.740,
2002-10,3.862,
2003-01,3.916,
2003-04,3.931,
2003-07,3.941,
2003-10,4.037,
2004-01,4.098,
2004-04,4.136,
2004-07,4.588,
2004-10,4.332,
2005-01,4.373,
2005-04,4.392,
2005-07,4.399,
2005-10,4.522,
2006-01,4.532,
2006-04,4.502,
2006-07,4.487,
2006-10,4.478,
2007-01,4.357,
2007-04,4.314,
2007-07,4.209,
2007-10,4.202,
2008-01,4.039,
2008-04,3.859,
2008-07,3.701,
2008-10,3.764,
2009-01,3.806,
2009-04,3.724,
2009-07,3.676,
2009-10,3.683,
2010-01,3.647,
2010-04,3.599,
2010-07,3.553,
2010-10,3.530,
2011-01,3.488,
2011-04,3.458,
2011-07,3.424,
2011-10,3.441,
2012-01,3.457,
2012-04,3.468,
2012-07,3.489,
2012-10,3.544,
2013-01,3.590,
2013-04,3.588,
2013-07,3.609,
2013-10,3.657,
2014-01,3.676,
2014-04,3.673,
2014-07,3.648,
