"",BBFN1.M.DE.N.1.A.A1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.A1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:12,
1995-01,11.186,
1995-02,11.397,
1995-03,11.845,
1995-04,11.621,
1995-05,12.657,
1995-06,12.322,
1995-07,13.014,
1995-08,12.979,
1995-09,13.321,
1995-10,13.694,
1995-11,13.105,
1995-12,11.723,
1996-01,11.835,
1996-02,12.595,
1996-03,13.127,
1996-04,13.317,
1996-05,16.318,
1996-06,15.546,
1996-07,13.255,
1996-08,12.930,
1996-09,14.736,
1996-10,14.505,
1996-11,15.653,
1996-12,16.794,
1997-01,22.716,
1997-02,25.302,
1997-03,28.485,
1997-04,28.697,
1997-05,26.682,
1997-06,25.821,
1997-07,22.144,
1997-08,18.171,
1997-09,20.613,
1997-10,15.822,
1997-11,17.064,
1997-12,18.389,
1998-01,17.464,
1998-02,21.531,
1998-03,29.925,
1998-04,26.266,
1998-05,28.154,
1998-06,23.926,
1998-07,20.184,
1998-08,18.750,
1998-09,26.228,
1998-10,19.681,
1998-11,23.471,
1998-12,23.559,
1999-01,24.860,
1999-02,29.346,
1999-03,33.573,
1999-04,40.033,
1999-05,45.952,
1999-06,44.887,
1999-07,35.606,
1999-08,33.856,
1999-09,33.072,
1999-10,32.823,
1999-11,35.848,
1999-12,35.607,
2000-01,35.260,
2000-02,39.397,
2000-03,51.177,
2000-04,53.395,
2000-05,62.058,
2000-06,56.061,
2000-07,50.905,
2000-08,48.101,
2000-09,47.330,
2000-10,43.422,
2000-11,46.366,
2000-12,45.434,
2001-01,44.985,
2001-02,50.690,
2001-03,69.301,
2001-04,65.996,
2001-05,77.613,
2001-06,72.611,
2001-07,64.375,
2001-08,60.556,
2001-09,65.482,
2001-10,65.394,
2001-11,54.434,
2001-12,58.180,
2002-01,52.518,
2002-02,48.453,
2002-03,45.479,
2002-04,42.614,
2002-05,31.976,
2002-06,31.958,
2002-07,30.250,
2002-08,29.134,
2002-09,32.059,
2002-10,30.122,
2002-11,29.565,
2002-12,28.314,
2003-01,27.846,
2003-02,29.696,
2003-03,28.566,
2003-04,28.371,
2003-05,27.703,
2003-06,26.941,
2003-07,26.703,
2003-08,26.917,
2003-09,31.991,
2003-10,29.542,
2003-11,31.533,
2003-12,30.580,
2004-01,32.480,
2004-02,28.921,
2004-03,27.673,
2004-04,26.270,
2004-05,26.303,
2004-06,27.239,
2004-07,26.907,
2004-08,26.928,
2004-09,28.988,
2004-10,26.847,
2004-11,27.186,
2004-12,27.395,
2005-01,26.265,
2005-02,26.716,
2005-03,27.931,
2005-04,26.615,
2005-05,28.665,
2005-06,29.147,
2005-07,27.683,
2005-08,26.857,
2005-09,31.999,
2005-10,32.613,
2005-11,33.132,
2005-12,34.733,
2006-01,32.794,
2006-02,34.654,
2006-03,36.665,
2006-04,35.721,
2006-05,36.600,
2006-06,36.429,
2006-07,36.052,
2006-08,35.145,
2006-09,32.252,
2006-10,35.000,
2006-11,33.893,
2006-12,32.196,
2007-01,25.963,
2007-02,25.708,
2007-03,25.962,
2007-04,26.923,
2007-05,26.715,
2007-06,26.826,
2007-07,28.925,
2007-08,25.316,
2007-09,25.311,
2007-10,25.807,
2007-11,24.518,
2007-12,31.469,
2008-01,23.598,
2008-02,23.097,
2008-03,24.347,
2008-04,26.056,
2008-05,25.092,
2008-06,24.725,
2008-07,25.504,
2008-08,25.460,
2008-09,27.989,
2008-10,31.449,
2008-11,32.276,
2008-12,27.527,
2009-01,28.520,
2009-02,27.600,
2009-03,28.238,
2009-04,26.478,
2009-05,25.760,
2009-06,25.105,
2009-07,23.542,
2009-08,24.376,
2009-09,24.445,
2009-10,24.661,
2009-11,24.053,
2009-12,22.810,
2010-01,24.196,
2010-02,22.016,
2010-03,26.915,
2010-04,24.507,
2010-05,27.962,
2010-06,31.170,
2010-07,30.966,
2010-08,30.137,
2010-09,29.071,
2010-10,27.894,
2010-11,28.545,
2010-12,27.139,
2011-01,27.430,
2011-02,26.420,
2011-03,27.694,
2011-04,27.258,
2011-05,25.698,
2011-06,24.734,
2011-07,22.883,
2011-08,22.985,
2011-09,24.936,
2011-10,21.324,
2011-11,21.757,
2011-12,26.676,
2012-01,22.556,
2012-02,21.896,
2012-03,23.293,
2012-04,21.768,
2012-05,21.715,
2012-06,25.282,
2012-07,23.149,
2012-08,21.273,
2012-09,22.773,
2012-10,22.173,
2012-11,22.438,
2012-12,22.726,
2013-01,19.695,
2013-02,19.047,
2013-03,21.062,
2013-04,21.133,
2013-05,21.929,
2013-06,23.716,
2013-07,21.295,
2013-08,23.386,
2013-09,24.946,
2013-10,20.781,
2013-11,19.455,
2013-12,21.405,
2014-01,18.903,
2014-02,18.398,
2014-03,19.914,
2014-04,20.881,
2014-05,20.469,
2014-06,20.684,
2014-07,20.430,
2014-08,20.412,
2014-09,23.760,
2014-10,20.950,
2014-11,22.956,
2014-12,24.434,
"",General: Up to December including Niederl.Antillen,
